row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.044.149.773.455,876.808.757.574,1044149773455.0,876808757574.0
Khách hàng Dự án chung cư Vũng Tàu Gateway,Khách hàng Dự án chung cư Vũng Tàu Gateway,Khách hàng Dự án chung cư Vũng Tàu Gateway,648.602.083.855,231.309.483.587,648602083855.0,231309483587.0
Khách hàng Dự án Khu căn hộ Cao cấp DIC Phoenix,Khách hàng Dự án Khu căn hộ Cao cấp DIC Phoenix,Khách hàng Dự án Khu căn hộ Cao cấp DIC Phoenix,157.294.923.630,268.776.436.753,157294923630.0,268776436753.0
Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),111.733.041.827,301.913.033.179,111733041827.0,301913033179.0
Công ty Cổ phần Đầu tư Phát triển Thiên Tân (ii),Công ty Cổ phần Đầu tư Phát triển Thiên Tân (ii),Công ty Cổ phần Đầu tư Phát triển Thiên Tân (ii),59.000.000.000,-,59000000000.0,
Khách hàng Dự án Khu Trung tâm Chí Linh – Vũng Tàu,Khách hàng Dự án Khu Trung tâm Chí Linh – Vũng Tàu,Khách hàng Dự án Khu Trung tâm Chí Linh – Vũng Tàu,22.545.436.041,23.528.032.041,22545436041.0,23528032041.0
Khách hàng Dự án Thủy Tiên,Khách hàng Dự án Thủy Tiên,Khách hàng Dự án Thủy Tiên,13.042.715.822,13.235.275.947,13042715822.0,13235275947.0
Công ty Cổ phần DCP Châu Á,Công ty Cổ phần DCP Châu Á,Công ty Cổ phần DCP Châu Á,9.176.047.500,9.176.047.500,9176047500.0,9176047500.0
Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,314.197.913,3.382.402.000,314197913.0,3382402000.0
Khác,Khác,Khác,22.441.326.867,25.488.046.567,22441326867.0,25488046567.0
Dài hạn,Dài hạn,Dài hạn,8.318.000.000,8.318.000.000,8318000000.0,8318000000.0
Ông Lê Văn Hường,Ông Lê Văn Hường,Ông Lê Văn Hường,8.318.000.000,8.318.000.000,8318000000.0,8318000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.052.467.773.455,885.126.757.574,1052467773455.0,885126757574.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(8.318.000.000),(8.318.000.000),-8318000000.0,-8318000000.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.044.149.773.455,876.808.757.574,1044149773455.0,876808757574.0
Trong đó:Các bên khác,Trong đó:Các bên khác,Trong đó:Các bên khác,1.028.077.932.093,846.264.600.792,1028077932093.0,846264600792.0
Các bên liên quan (Thuyết minh – TM số 31),Các bên liên quan (Thuyết minh – TM số 31),Các bên liên quan (Thuyết minh – TM số 31),16.071.841.362,30.544.156.782,16071841362.0,30544156782.0
