row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Tạm hoàn ứng cho chủ đầu tư,1.727.478.421.906,2.054.879.750.566,,1727478421906.0,2054879750566.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Ký quỹ môi giới,1.950.650.000.000,1.950.650.000.000,,1950650000000.0,1950650000000.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Lãi cho vay,-,6.622.498.410,,,6622498410.0
Charm & CI,Phải thu ngắn hạn khác > Charm & CI,Charm & CI,Ký quỹ môi giới,235.000.000.000,235.000.000.000,,235000000000.0,235000000000.0
Hà Thuận Hùng,Phải thu ngắn hạn khác > Hà Thuận Hùng,Hà Thuận Hùng,Tạm hoàn ứng cho chủ đầu tư,35.164.513.987,76.432.457.606,,35164513987.0,76432457606.0
Đất Xanh Miền Bắc,Phải thu ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Cổ tức,16.252.870.000,16.252.870.000,,16252870000.0,16252870000.0
Cara Group,Phải thu ngắn hạn khác > Cara Group,Cara Group,Cổ tức,9.988.304.094,9.988.304.094,,9988304094.0,9988304094.0
Cara Group,Phải thu ngắn hạn khác > Cara Group,Cara Group,Góp vốn theo HDHTKD,1.842.105.263,7.000.000.000,,1842105263.0,7000000000.0
Regal Group,Phải thu ngắn hạn khác > Regal Group,Regal Group,Cổ tức,9.900.000.000,9.900.000.000,,9900000000.0,9900000000.0
Công nghệ BĐS,Phải thu ngắn hạn khác > Công nghệ BĐS,Công nghệ BĐS,Cho mượn,6.000.000.000,6.000.000.000,,6000000000.0,6000000000.0
Công nghệ BĐS,Phải thu ngắn hạn khác > Công nghệ BĐS,Công nghệ BĐS,Lãi cho vay,469.027.778,469.027.778,,469027778.0,469027778.0
DXG,Phải thu ngắn hạn khác > DXG,DXG,Chi hộ,2.480.489.982,2.480.489.982,,2480489982.0,2480489982.0
Đất Xanh Miền Nam,Phải thu ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Góp vốn theo HDHTKD,1.015.472.100,1.015.472.100,,1015472100.0,1015472100.0
Đất Xanh Miền Nam,Phải thu ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Lãi cho vay,1.558.001.568,406.103.300,,1558001568.0,406103300.0
LinkGroup,Phải thu ngắn hạn khác > LinkGroup,LinkGroup,Lãi cho vay,173.178.083,-,,173178083.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Hà Thuận Hùng,Phải thu dài hạn khác > Hà Thuận Hùng,Hà Thuận Hùng,Ký quỹ môi giới,31.114.000.000,31.114.000.000,,31114000000.0,31114000000.0
Hội An,Phải thu dài hạn khác > Hội An,Hội An,Ký quỹ môi giới,38.150.000.000,38.150.000.000,,38150000000.0,38150000000.0
,,,,4.067.236.384.761,4.446.360.973.836,,4067236384761.0,4446360973836.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
LinkGroup (*),Phải thu về cho vay ngắn hạn > LinkGroup (*),LinkGroup (*),Cho vay,64.500.000.000,-,,64500000000.0,
Đất Xanh Miền Nam (**),Phải thu về cho vay ngắn hạn > Đất Xanh Miền Nam (**),Đất Xanh Miền Nam (**),Cho vay,13.931.175.222,-,,13931175222.0,
Hà An,Phải thu về cho vay ngắn hạn > Hà An,Hà An,Cho vay,-,68.657.481.597,,,68657481597.0
,,,,78.431.175.222,68.657.481.597,,78431175222.0,68657481597.0
