row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Original cost VND,Provision VND,Original cost VND,Provision VND,,,,
Mr Le Phong Hieu,Mr Le Phong Hieu,Mr Le Phong Hieu,"20,000,000,000","(10,000,000,000)",-,-,,,,
Viet Build Import,Viet Build Import,Viet Build Import,"2,128,460,264","(2,128,460,264)","2,128,460,264","(2,128,460,264)",,,,
Export Investment Joint Stock Company Others,Export Investment Joint Stock Company Others,Export Investment Joint Stock Company Others,"8,116,472,967","(7,939,755,236)","8,048,833,087","(7,615,110,583)",,,,
Total,Total,Total,"30,244,933,231","(20,068,215,500)","10,177,293,351","(9,743,570,847)",,,,
