row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị ghi số VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị ghi số VND,numeric__Số đầu năm > Dự phòng VND
Ông Lê Phong Hiếu,Ông Lê Phong Hiếu,Ông Lê Phong Hiếu,20.000.000.000,(10.000.000.000),-,-,20000000000.0,-10000000000.0,,
Công ty CP Đầu tư,Công ty CP Đầu tư,Công ty CP Đầu tư,2.128.460.264,(2.128.460.264),2.128.460.264,(2.128.460.264),2128460264.0,-2128460264.0,2128460264.0,-2128460264.0
Xuất nhập khẩu Xây dựng Việt,Xuất nhập khẩu Xây dựng Việt,Xuất nhập khẩu Xây dựng Việt,,,,,,,,
Đối tượng khác,Xuất nhập khẩu Xây dựng Việt > Đối tượng khác,Đối tượng khác,8.116.472.967,(7.939.755.236),8.048.833.087,(7.615.110.583),8116472967.0,-7939755236.0,8048833087.0,-7615110583.0
Cộng,Xuất nhập khẩu Xây dựng Việt > Cộng,Cộng,30.244.933.231,(20.068.215.500),10.177.293.351,(9.743.570.847),30244933231.0,-20068215500.0,10177293351.0,-9743570847.0
