row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Chăn nuôi MinhThành,Chăn nuôi MinhThành,Chăn nuôi MinhThành,Mua heoNhận cổ tứcBán cámCho vayLãi cho vayBán heoThu hộ,193.075.650.60129.400.000.00027.154.958.4258.970.000.000152.225.753-,122.865.462.534--31.491.414.4052.800.000.000428.923.1756.663.018.00030.448.556.450,,,
Tâm Hưng,Chăn nuôi MinhThành > Tâm Hưng,Tâm Hưng,Trả vayVayCho vayLãi vayLãi cho vay,71.040.000.00050.200.000.00015.010.000.000548.443.561229.150.684,--21.000.000.000--282.253.151--,,7.1040000000502e+50,
Công ty TNHHAgro Việt,Chăn nuôi MinhThành > Công ty TNHHAgro Việt,Công ty TNHHAgro Việt,Thanh lýcông ty liên doanh,-,14.983.824.894,,,14983824894.0
Tân Châu,Chăn nuôi MinhThành > Tân Châu,Tân Châu,Trả vayVayCho vayLãi cho vayLãi vay,94.200.000.00070.100.000.00044.139.412.603678.861.918385.850.959,--25.000.000.000--332.400.000,,9.4200000000701e+50,
Sông Hinh,Chăn nuôi MinhThành > Sông Hinh,Sông Hinh,Tiền vay đã trảLãi vay,5.470.000.0001.837.927.398,12.085.000.0002.346.602.466,,5.4700000001837924e+19,1.208500000023466e+20
Bắc An Khánh,Chăn nuôi MinhThành > Bắc An Khánh,Bắc An Khánh,Góp vốnCho vayMua heoLãi cho vay,110.000.000.00065.072.000.000162.150.0001.036.685.426,--10.260.000.000--1.611.215.341,,1.1000000000065073e+41,
BAF Bình Định,Chăn nuôi MinhThành > BAF Bình Định,BAF Bình Định,VayGóp vốnLãi vayTrả vay,30.000.000.00030.000.000.0004.339.579.4663.860.000.000,1.000.000.000--4.136.222.210--,,3.00000000003e+41,
Chăn nuôiBảo Ngọc,Chăn nuôi MinhThành > Chăn nuôiBảo Ngọc,Chăn nuôiBảo Ngọc,Chi phí thuê trạiCho vayLãi cho vay,6.130.909.0914.210.000.0001.874.882.663,3.954.545.4555.990.000.0001.574.071.431,,6.130909091421e+29,3.954545455599e+29
Hải ĐăngTây Ninh,Chăn nuôi MinhThành > Hải ĐăngTây Ninh,Hải ĐăngTây Ninh,Góp vốnTrả vayLãi vayVay,280.000.000.00031.170.000.0002.932.099.537-,--1.959.441.68067.000.000.000,,,1.95944168067e+20
Logistic BAF,Chăn nuôi MinhThành > Logistic BAF,Logistic BAF,Góp vốn,30.000.000,-,,30000000.0,
