row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Siba Tech,Trả trước cho người bán ngắn hạn > Siba Tech,Siba Tech,Trả trước tiền mua hàng hóa,15.328.410.573,408.540.000,,15328410573.0,408540000.0
Công ty Cổ phần Đầu Tư Xây Dụng Sibacons,Trả trước cho người bán ngắn hạn > Công ty Cổ phần Đầu Tư Xây Dụng Sibacons,Công ty Cổ phần Đầu Tư Xây Dụng Sibacons,Trả trước tiền mua hàng hóa,229.090.909,-,,229090909.0,
Chăn nuôi Kim Hội,Trả trước cho người bán ngắn hạn > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Tạm ứng thuê trại,50.000.000,428.422.274,,50000000.0,428422274.0
Đông An Khánh,Trả trước cho người bán ngắn hạn > Đông An Khánh,Đông An Khánh,Trả trước tiền mua hàng hóa,3.884.750,-,,3884750.0,
Chăn nuôi Bảo Ngọc,Trả trước cho người bán ngắn hạn > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Tạm ứng thuê trại,-,2.238.000.000,,,2238000000.0
Anh Vũ Phú Yên,Trả trước cho người bán ngắn hạn > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Trả trước tiền mua hàng hóa,-,1.383.835.277,,,1383835277.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,15.611.386.232,4.458.797.551,,15611386232.0,4458797551.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Anh Vũ Phú Yên,Phải thu ngắn hạn khác > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Cổ tức Lãi cho vay,30.000.000.0009.596.692.604,-5.403.723.288,,3.000000000095967e+20,-5403723288.0
Chăn nuôi Minh Thành,Phải thu ngắn hạn khác > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Cổ tức Lãi cho vayChi hộ,29.400.000.0003.431.877.5961.778.325.001,-3.279.651.844,,2.940000000034319e+30,-3279651844.0
BAF Tây Ninh,Phải thu ngắn hạn khác > BAF Tây Ninh,BAF Tây Ninh,Cổ tức,19.800.000.000,-,,19800000000.0,
Trang Trại Xanh 1,Phải thu ngắn hạn khác > Trang Trại Xanh 1,Trang Trại Xanh 1,Cổ tức Lãi cho vay,19.600.000.00010.355.748.494,-4.910.400.000,,1.9600000000103557e+21,-4910400000.0
Chăn nuôi Bảo Ngọc,Phải thu ngắn hạn khác > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Lãi cho vay,4.540.512.362,2.705.629.699,,4540512362.0,2705629699.0
Đông An Khánh,Phải thu ngắn hạn khác > Đông An Khánh,Đông An Khánh,Lãi cho vayKhác,3.128.528.562-,2.278.406.4662.387.845.000,,,2.2784064662387843e+19
Trang Trại Xanh 2,Phải thu ngắn hạn khác > Trang Trại Xanh 2,Trang Trại Xanh 2,Lãi cho vay,1.901.123.346,593.133.698,,1901123346.0,593133698.0
Bắc An Khánh,Phải thu ngắn hạn khác > Bắc An Khánh,Bắc An Khánh,Lãi cho vay,742.271.508,6.763.425.286,,742271508.0,6763425286.0
Tân Châu,Phải thu ngắn hạn khác > Tân Châu,Tân Châu,Lãi cho vay,678.861.918,-,,678861918.0,
Nam An Khánh,Phải thu ngắn hạn khác > Nam An Khánh,Nam An Khánh,Lãi cho vay,436.395.616,2.271.912.330,,436395616.0,2271912330.0
Tâm Hưng,Phải thu ngắn hạn khác > Tâm Hưng,Tâm Hưng,Lãi cho vay,229.150.684,-,,229150684.0,
Chế biến Thực phẩm BAF Tây Ninh,Phải thu ngắn hạn khác > Chế biến Thực phẩm BAF Tây Ninh,Chế biến Thực phẩm BAF Tây Ninh,Khác,35.000.000,-,,35000000.0,
BAF Myanmar,Phải thu ngắn hạn khác > BAF Myanmar,BAF Myanmar,Phải thu từ đầu tư,-,19.640.362.522,,,19640362522.0
Hải Đăng Tây Ninh,Phải thu ngắn hạn khác > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Lãi cho vay,-,256.438.355,,,256438355.0
Thiên Phú Sơn,Phải thu ngắn hạn khác > Thiên Phú Sơn,Thiên Phú Sơn,Lãi cho vay,-,157.939.726,,,157939726.0
TỔNG CỘNG,Phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,135.654.487.691,50.648.868.214,,135654487691.0,50648868214.0
