row_label_raw,row_label_full,Bên đi vay,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty TNHH Đầu tư Bất động sản Hưng Phú,Công ty TNHH Đầu tư Bất động sản Hưng Phú,Công ty TNHH Đầu tư Bất động sản Hưng Phú,527.000.000.000,-,527000000000.0,
Công ty TNHH REQ,Công ty TNHH REQ,Công ty TNHH REQ,397.485.000.000,388.500.000.000,397485000000.0,388500000000.0
Ông Nguyễn Hồng Phong,Ông Nguyễn Hồng Phong,Ông Nguyễn Hồng Phong,270.525.720.000,-,270525720000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,137.228.000.000,88.000.000.000,137228000000.0,88000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.332.238.720.000,476.500.000.000,1332238720000.0,476500000000.0
