row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,,
Công ty Cổ phầnLê Me,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phầnLê Me,Công ty Cổ phầnLê Me,Công ty liên quan,HĐHTKD Lãi cho vay,440.000.00023.379.954,440.000.0007.160.868,,,4.400000002337995e+16,4400000007160868.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Lãi cho vay,50.880.235,-,,,50880235.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,43.144.374,29.854.077,,,43144374.0,29854077.0
Công ty Cổ phần Gia súc Lo' Pang,Phải thu dài hạn khác (TM số 9) > Công ty Cổ phần Gia súc Lo' Pang,Công ty Cổ phần Gia súc Lo' Pang,Công ty liên quan,Lãi cho vay,31.534.787,-,,,31534787.0,
Ông Nguyễn Ngọc Mai,Phải thu dài hạn khác (TM số 9) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Giám đốc công ty con,Lãi cho vay,19.829.760,4.026.480,,,19829760.0,4026480.0
Ông Lê Văn Thạch,Phải thu dài hạn khác (TM số 9) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Bên liên quan,Lãi cho vay,15.805.440,7.903.800,,,15805440.0,7903800.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,10.021.989,-,,,10021989.0,
Ông Trần Quang Dùng,Phải thu dài hạn khác (TM số 9) > Ông Trần Quang Dùng,Ông Trần Quang Dùng,Phó Giám đốc công ty con,Lãi cho vay,3.321.960,688.080,,,3321960.0,688080.0
Công ty TNHH Công nghiệp & Nông nghiệp Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Công nghiệp & Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty TNHH Công nghiệp & Nông nghiệp Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,1.538.997,-,,,1538997.0,
,,,,,639.457.496,489.633.305,,,639457496.0,489633305.0
