row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,,
Công ty Cổ phần Lê Me,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,"8,00 - 8,60",4.120.545.983,3.644.498.048,,,4120545983.0,3644498048.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty có cùng thành viên HĐQT,-,1.351.784.995,-,,,1351784995.0,
Công ty Cổ phần Gia súc Lơ Pang,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty liên quan,"6,15",500.000.000,-,,6.15,500000000.0,
Ông Nguyễn Kim Luân,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Kim Luân,Ông Nguyễn Kim Luân,Bên liên quan,"8,60 - 10,00",251.431.000,-,,,251431000.0,
Ông Đoàn Nguyên Đức,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,"10,00",102.165.041,-,,10.0,102165041.0,
Ông Nguyễn Ngọc Mai,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Giám đốc công ty con,-,30.000.000,30.000.000,,,30000000.0,30000000.0
Ông Lê Văn Thạch,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Bên liên quan,-,15.000.000,15.000.000,,,15000000.0,15000000.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,"4,80",22.179.629,-,,4.8,22179629.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,"12,00",4.209.929,86.936.725,,12.0,4209929.0,86936725.0
Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty có cùng thành viên quản lý chủ chốt,-,26.000,-,,,26000.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy Nhựa Hoàng Anh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy Nhựa Hoàng Anh,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy Nhựa Hoàng Anh,Công ty liên quan,"10,00",-,3.000.000,,10.0,,3000000.0
Bà Hồ Thị Kim Chi,Phải thu về cho vay ngắn hạn (TM số 8) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,-,-,1.811.406,,,,1811406.0
