row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Tiền (Thuyết minh số 05),Tiền (Thuyết minh số 05),Tiền (Thuyết minh số 05),,3.762.056.134,10.739.536.725,,3762056134.0,10739536725.0
Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Tiền,3.762.056.134,10.739.536.725,,3762056134.0,10739536725.0
Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),,28.219.000.000,19.143.810.000,,28219000000.0,19143810000.0
Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Phải thu phí dịch vụ quản lý dự án,14.427.200.000,16.101.800.000,,14427200000.0,16101800000.0
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Phải thu phí dịch vụ quản lý dự án,11.426.800.000,3.042.010.000,,11426800000.0,3042010000.0
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Phải thu phí dịch vụ quản lý dự án,2.103.200.000,-,,2103200000.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Phải thu phí dịch vụ quản lý dự án,261.800.000,-,,261800000.0,
Phải trả người bán ngắn hạn (Thuyết minh số 15),Phải trả người bán ngắn hạn (Thuyết minh số 15),Phải trả người bán ngắn hạn (Thuyết minh số 15),,7.623.202.645,1.226.054.798,,7623202645.0,1226054798.0
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí thi công xây dựng,5.445.955.759,-,,5445955759.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Phải trả chi phí thi công hoàn thiện nội thất,1.204.054.798,1.226.054.798,,1204054798.0,1226054798.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Phải trả chi phí dịch vụ quản trị hệ thống công nghệ thông tin,735.199.789,-,,735199789.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả chi phí vận hành dự án,131.626.080,-,,131626080.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,"Phải trả chi phí suất ăn, voucher, văn phòng phẩm",106.366.219,-,,106366219.0,
Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),,335.202.273,134.918.377,,335202273.0,134918377.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,"Trích trước chi phí voucher, quả tặng",190.924.927,-,,190924927.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Trích trước phí dịch vụ vận hành,85.742.566,67.286.226,,85742566.0,67286226.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Trích trước chi phí in lịch,58.534.780,67.632.151,,58534780.0,67632151.0
Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),,180.000.000.000,-,,180000000000.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Gốc vay,180.000.000.000,-,,180000000000.0,
Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),Chi phí phải trả dài hạn (Thuyết minh số 18),,78.904.110,-,,78904110.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Trích trước chi phí lãi vay,78.904.110,-,,78904110.0,
