row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Doanh thu cung cấp dịch vụ (Thuyết minh số 23),Doanh thu cung cấp dịch vụ (Thuyết minh số 23),Doanh thu cung cấp dịch vụ (Thuyết minh số 23),,108.037.095.956,102.903.068.685,,108037095956.0,102903068685.0
Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,Doanh thu phí quản lý dự án,52.614.000.000,14.638.000.000,,52614000000.0,14638000000.0
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,Doanh thu phí quản lý dự án,46.085.000.000,46.650.900.000,,46085000000.0,46650900000.0
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty Cổ phần Đầu tư Xây dựng Xuân Đình,Doanh thu phí quản lý dự án,6.399.000.000,29.016.600.000,,6399000000.0,29016600000.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Doanh thu phí quản lý dự án,1.568.000.000,11.340.700.000,,1568000000.0,11340700000.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Doanh thu cho thuê xe ô tô,777.777.776,777.777.776,,777777776.0,777777776.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Doanh thu cho thuê bất động sản,593.318.180,479.090.909,,593318180.0,479090909.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,37.157.529.503,8.609.230.053,,37157529503.0,8609230053.0
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản S-Homes,Chi phí thi công xây dựng và phí quản lý dự án,24.855.313.165,-,,24855313165.0,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Chi phí thi công hoàn thiện dự án,5.329.049.963,-,,5329049963.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Chi phí vận hành và chi phí bảo vệ,3.006.460.136,2.940.106.393,,3006460136.0,2940106393.0
