row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Điện TTC Đức Huệ - Long An,Phải thu ngắn hạn của khách hàng > Điện TTC Đức Huệ - Long An,Điện TTC Đức Huệ - Long An,Bán thiết bị,54.083.370.800,-,,54083370800.0,
Mía đường TTC Attapeu,Phải thu ngắn hạn của khách hàng > Mía đường TTC Attapeu,Mía đường TTC Attapeu,Cung cấp dịch vụ,-,57.000.000,,,57000000.0
Xuất nhập khẩu Agris Ninh Hòa,Phải thu ngắn hạn của khách hàng > Xuất nhập khẩu Agris Ninh Hòa,Xuất nhập khẩu Agris Ninh Hòa,Cung cấp dịch vụ,-,37.908.000,,,37908000.0
Nông nghiệp Tuần hoàn TTC,Phải thu ngắn hạn của khách hàng > Nông nghiệp Tuần hoàn TTC,Nông nghiệp Tuần hoàn TTC,Cung cấp dịch vụ,-,37.500.000,,,37500000.0
Nhiệt điện Ninh Hòa,Phải thu ngắn hạn của khách hàng > Nhiệt điện Ninh Hòa,Nhiệt điện Ninh Hòa,Cung cấp dịch vụ,-,30.348.000,,,30348000.0
Năng lượng sạch Ninh Hòa,Phải thu ngắn hạn của khách hàng > Năng lượng sạch Ninh Hòa,Năng lượng sạch Ninh Hòa,Cung cấp dịch vụ,-,8.748.000,,,8748000.0
Công ty Cổ phần Đường Biên Hòa - Phan Rang,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đường Biên Hòa - Phan Rang,Công ty Cổ phần Đường Biên Hòa - Phan Rang,Cung cấp dịch vụ,-,8.748.000,,,8748000.0
,,,,54.083.370.800,180.252.000,,54083370800.0,180252000.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Xuất Nhập khẩu Tân Định,Trả trước cho người bán ngắn hạn > Xuất Nhập khẩu Tân Định,Xuất Nhập khẩu Tân Định,Mua hàng hóa dịch vụ,-,175.750.000,,,175750000.0
