row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm 2022 VND,Năm 2021 VND,numeric__Nội dung nghiệp vụ,numeric__Năm 2022 VND,numeric__Năm 2021 VND
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Chuyển tiền góp vốn,-,4.700.000.000,,,4700000000.0
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Nhận tiền theo thỏa thuận quản lý vốn tập trung,2.200.000.000,8.100.000.000,,2200000000.0,8100000000.0
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Phải trả chi phí tư vấn,8.025.870.726,11.589.994.111,,8025870726.0,11589994111.0
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Phải trả lãi từ dòng tiền quản lý vốn tập trung,77.596.272,53.309.588,,77596272.0,53309588.0
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,"Doanh thu tiền điện, nước",18.843.602,-,,18843602.0,
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Phải thu chuyển giao phần mềm,-,308.610.000,,,308610000.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Chuyển tiền vốn góp,-,4.700.000.000,,,4700000000.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Nhận tiền theo thỏa thuận quản lý vốn tập trung,-,6.400.000.000,,,6400000000.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải trả lãi từ dòng tiền quản lý vốn tập trung,29.932.220,41.764.801,,29932220.0,41764801.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải trả phí dịch vụ tư vấn,7.110.102.294,7.184.080.545,,7110102294.0,7184080545.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải thu từ chuyển giao,-,487.449.916,,,487449916.0
Công ty BT Hà Đông,Công ty BT Hà Đông,Công ty BT Hà Đông,Chuyển tiền góp vốn,1.383.900.000,2.660.000.000,,1383900000.0,2660000000.0
Công ty ANTV,Công ty ANTV,Công ty ANTV,Phí dịch vụ bảo vệ,201.480.000,-,,201480000.0,
Công ty Phúc Thành,Công ty Phúc Thành,Công ty Phúc Thành,Mua bê tông thương phẩm,11.851.851.500,-,,11851851500.0,
Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Doanh thu chuyển nhượng bất động sản,-,6.467.101.920,,,6467101920.0
Ông Trần Quốc Tấn,Ông Trần Quốc Tấn,Ông Trần Quốc Tấn,Phát hành trái phiếu,-,20.000.000.000,,,20000000000.0
