row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Bà Nguyễn Thị Ngọc Tuyên,Phải thu ngắn hạn của khách hàng > Bà Nguyễn Thị Ngọc Tuyên,Bà Nguyễn Thị Ngọc Tuyên,Phải thu từ bán căn hộ,25.827.171.079,10.506.174.507,,25827171079.0,10506174507.0
Indochine,Phải thu ngắn hạn của khách hàng > Indochine,Indochine,Doanh thu từ HĐHTKD,2.002.446.181,3.011.786.958,,2002446181.0,3011786958.0
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cung cấp dịch vụ môi giới,151.260.206,588.189.809,,151260206.0,588189809.0
Ông Trần Hoài Nam,Phải thu ngắn hạn của khách hàng > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Doanh thu từ cho thuê,-,135.000.000,,,135000000.0
Khác,Phải thu ngắn hạn của khách hàng > Khác,Khác,Khác,229.179.741,81.968.844,,229179741.0,81968844.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,28.210.057.207,14.323.120.118,,28210057207.0,14323120118.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Cá nhân 2,Phải thu về cho vay ngắn hạn > Cá nhân 2,Cá nhân 2,Cho vay,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
Đất Xanh Miền Nam,Phải thu về cho vay ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cho vay,5.000.000.000,15.931.175.222,,5000000000.0,15931175222.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,35.000.000.000,45.931.175.222,,35000000000.0,45931175222.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Ông Trần Hoài Nam,Trả trước cho người bán ngắn hạn > Ông Trần Hoài Nam,Ông Trần Hoài Nam,Trả trước tiền mua đất,55.152.361.777,90.440.887.879,,55152361777.0,90440887879.0
Ông Trần Ngọc Thành,Trả trước cho người bán ngắn hạn > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Trả trước tiền mua đất,20.540.000.000,20.540.000.000,,20540000000.0,20540000000.0
Đất xanh Miền Nam,Trả trước cho người bán ngắn hạn > Đất xanh Miền Nam,Đất xanh Miền Nam,Phí dịch vụ,17.550.460.425,18.354.444.949,,17550460425.0,18354444949.0
Vision Realty,Trả trước cho người bán ngắn hạn > Vision Realty,Vision Realty,Phí dịch vụ,239.291.022,-,,239291022.0,
Phuoc Thỉnh,Trả trước cho người bán ngắn hạn > Phuoc Thỉnh,Phuoc Thỉnh,Phí dịch vụ,104.078.290,-,,104078290.0,
Houzz Agent,Trả trước cho người bán ngắn hạn > Houzz Agent,Houzz Agent,Phí dịch vụ,-,15.000.000,,,15000000.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,93.586.191.514,129.350.332.828,,93586191514.0,129350332828.0
