row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,"Thu hộ theo Hợp đồngký quỹ cung cấp dịch vụmôi giới dự ánBù trừ tiền ký quỹ, thu hộdự án với khoản thu hộtheo Hợp đồng ký quỹcung cấp dịch vụ môigiới dự ánKý quỹ cung cấp dịch vụmôi giới dự án",142.355.085.088138.347.825.507112.346.159.124,2.947.714.875-45.266.290.862,,1.4235508508813835e+35,
Ông Trần Hoài Nam,Ông Trần Hoài Nam,Ông Trần Hoài Nam,Mua bất động sảnhàng hóaTạm ứngHoàn ứngTrả trước tiền mua đất,61.030.494.6725.303.000.0005.070.000.000-,-9.843.583.676-90.440.887.879,,,
Cá nhân 2,Ông Trần Hoài Nam > Cá nhân 2,Cá nhân 2,Hoàn ký quỹ dự án,65.922.600.000,21.311.003.840,,65922600000.0,21311003840.0
Cá nhân 1,Ông Trần Hoài Nam > Cá nhân 1,Cá nhân 1,Ứng tiền nhậnc Huếňn nhượng đấtThu hồi tiền ứng trướcThu hồi tiền đặt cọc,37.107.000.00035.119.542.750-,81.000.000.00097.731.067.50011.117.300.000,,,8.100000000097732e+32
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Thu hồi cho vayHoán trả ký quỹPhí dịch vụ môi giớiCho vayLải cho vayDoanh thu dịch vụ môi giớiDoanh thu từ HĐHTKD,13.931.175.2226.500.000.0003.334.880.9133.000.000.000673.536.289147.790.695-,-2.888.465.731-1.151.898.268115.778.20418.727.272.728,,,
Indochine,Đất Xanh Miền Nam > Indochine,Indochine,Phí dịch vụ môi giớiDoanh thu dịch vụ môi giớiTạm ứng phí dịch vụ,3.586.898.867-,2.860.172.5446.966.809.8282.038.780.132,,,2.860172544696681e+29
Ông Lương Trí Thìn,Đất Xanh Miền Nam > Ông Lương Trí Thìn,Ông Lương Trí Thìn,Thanh toán gốc vayVayThanh toán lãi vayLãi đi vay,-,180.000.000.00030.000.000.0004.990.684.9313.119.826.966,,,1.800000000003e+42
Cá nhân 3,Đất Xanh Miền Nam > Cá nhân 3,Cá nhân 3,Ứng tiền nhậnc Huếňn nhượng đất,-,28.583.944.000,,,28583944000.0
Ông Trần Ngọc Thành,Đất Xanh Miền Nam > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Ứng tiền mua đất,-,20.540.000.000,,,20540000000.0
Ông Trần Ngọc Thái,Đất Xanh Miền Nam > Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Ký quỹ cung cấp dịch vụmôi giới dự ánTạm ứng,-,17.295.910.5624.139.434.000,,,1.7295910562413943e+20
Ông Phạm Văn Viên,Đất Xanh Miền Nam > Ông Phạm Văn Viên,Ông Phạm Văn Viên,Tạm ứng,-,11.545.000.000,,,11545000000.0
