row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),Phải trả người bán ngắn hạn (Thuyết minh số 18),,51.971.299.130,573.894.808.036,,51971299130.0,573894808036.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Phải trả mua sắm thiết bị, bảo trì và phần mềm",28.790.200.000,480.991.289,,28790200000.0,480991289.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Phải trả chi phí thi công, hoàn thiện dự án",14.040.000.000,332.527.242.018,,14040000000.0,332527242018.0
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,6.806.843.410,7.560.443.077,,6806843410.0,7560443077.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải trả chi phí vận hành dự án,1.727.541.057,4.833.263.969,,1727541057.0,4833263969.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Phải trả chi phí dịch vụ suất ăn,421.160.570,296.521.617,,421160570.0,296521617.0
Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Chi phí mua cây,185.554.093,-,,185554093.0,
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,"Phải trả chi phí phát hành trái phiếu, phí tư vấn vàmôi giới bắt động sản",Không còn là bên liênquan,23.845.073.384,,,23845073384.0
Công ty Cổ phần Đầu tư kinh doanh Bất động sản SHomes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản SHomes,Công ty Cổ phần Đầu tư kinh doanh Bất động sản SHomes,Phải trả chi phí thi công xây dựng và quản lý dự án,-,202.635.067.384,,,202635067384.0
Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Phải trả chi phí thi công xây dựng và chi phí quản lýdự án,-,985.114.298,,,985114298.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher,-,500.000.000,,,500000000.0
Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Chi phí voucher,-,215.545.500,,,215545500.0
Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Chi phí voucher,-,15.545.500,,,15545500.0
Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),,303.205.627,240.949.910.544,,303205627.0,240949910544.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Chi phí voucher,271.908.800,271.908.800,,271908800.0,271908800.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Phải trả chi phí dịch vụ suất ăn,31.296.827,-,,31296827.0,
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,"Chi phí lãi trái phiếu phải trả, phí hoa hồng chuyểnnhượng trái phiếu",-,150.365.099.732,,,150365099732.0
Công ty Cổ phần Chứng khoán Smartmind(trước là Công ty Cổ phần Chứng khoán KS),Công ty Cổ phần Chứng khoán Smartmind(trước là Công ty Cổ phần Chứng khoán KS),Công ty Cổ phần Chứng khoán Smartmind(trước là Công ty Cổ phần Chứng khoán KS),"Chi phí lãi trái phiếu phải trả, chi phí liên quan tráiphiêu phát hành",-,82.656.311.047,,,82656311047.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Chi phí voucher,-,110.560.498,,,110560498.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Phí hoa hồng chuyển nhượng trái phiếu,Không còn là bên liênquan,7.546.030.467,,,7546030467.0
