row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Tiền và tương đương tiền (Thuyết minh số 05),Tiền và tương đương tiền (Thuyết minh số 05),Tiền và tương đương tiền (Thuyết minh số 05),,357.872.846.578,16.420.899.754,,357872846578.0,16420899754.0
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Tiền,357.872.846.578,16.420.899.754,,357872846578.0,16420899754.0
Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),Phải thu ngắn hạn của khách hàng (Thuyết minh số 07),,5.339.012.000,7.164.536.220,,5339012000.0,7164536220.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải thu từ dịch vụ cho thuê bất động sản,2.746.062.000,305.118.000,,2746062000.0,305118000.0
Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Ngân hàng TMCP Kiên Long,Cung cấp dịch vụ cho thuê bất động sản,1.633.440.000,-,,1633440000.0,
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải thu từ dịch vụ cho thuê bất động sản,959.510.000,5.208.505.090,,959510000.0,5208505090.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ dịch vụ cho thuê bất động sản,-,1.650.913.130,,,1650913130.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),Phải thu về cho vay ngắn hạn (Thuyết minh số 09),,298.950.000.000,370.540.000.000,,298950000000.0,370540000000.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Phải thu về cho vay ngắn hạn,298.950.000.000,370.540.000.000,,298950000000.0,370540000000.0
Phải thu ngắn hạn khác (Thuyết minh số 10),Phải thu ngắn hạn khác (Thuyết minh số 10),Phải thu ngắn hạn khác (Thuyết minh số 10),,335.184.517.261,109.114.222.003,,335184517261.0,109114222003.0
Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,Công ty Cổ phần Bất động sản Fulland,Phải thu từ hợp đồng đặt cọc mua cổ phần,260.000.000.000,-,,260000000000.0,
Công ty Cổ phần Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Kinh doanh Bất động sản S-Homes,Công ty Cổ phần Kinh doanh Bất động sản S-Homes,Phải thu từ hợp đồng đặt cọc mua cổ phần,38.736.000.000,-,,38736000000.0,
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,36.448.517.261,22.983.815.891,,36448517261.0,22983815891.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Phải thu về thu hộ tiền mua căn hộ,-,72.455.267.050,,,72455267050.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải thu từ chi hộ,-,6.163.895.666,,,6163895666.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Phải thu về thu hộ tiền mua căn hộ,-,4.235.768.840,,,4235768840.0
Công ty Cổ phần Tập đoàn xây dựng SCG,Công ty Cổ phần Tập đoàn xây dựng SCG,Công ty Cổ phần Tập đoàn xây dựng SCG,Phải thu từ hợp đồng bù trừ công nợ ba bên,-,2.222.220.915,,,2222220915.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ chi hộ,-,868.265.742,,,868265742.0
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Phải thu từ chi hộ,Không còn là bên liên quan,184.987.899,,,184987899.0
Đầu tư tài chính dài hạn (Thuyết minh số 18),Đầu tư tài chính dài hạn (Thuyết minh số 18),Đầu tư tài chính dài hạn (Thuyết minh số 18),,1.492.655.571.481,Là công ty liên kết,,1492655571481.0,
Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Đầu tư góp vốn vào đơn vị khác,1.492.655.571.481,Là công ty liên kết,,1492655571481.0,
Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),,21.015.779.269,51.971.299.130,,21015779269.0,51971299130.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,"Phí quảng cáo, truyền thông",14.424.780.000,Chưa là bên liên quan,,14424780000.0,
Công ty Cổ phần Sunshine - Design,Công ty Cổ phần Sunshine - Design,Công ty Cổ phần Sunshine - Design,Phải trả chi phí tư vấn thiết kế,5.364.944.471,-,,5364944471.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Phải trả chi phí thi công hoàn thiện nội thất,1.226.054.798,-,,1226054798.0,
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Phải trả mua sắm thiết bị, bảo trì và phần mềm",-,28.790.200.000,,,28790200000.0
Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,Công ty Cổ phần Phát triển Tập đoàn Sunshine,"Phải trả chi phí thi công, hoàn thiện dự án",-,14.040.000.000,,,14040000000.0
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,-,6.806.843.410,,,6806843410.0
Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Công ty Cổ phần Quản lý & Vận hành S-Service,Phải trả chi phí vận hành dự án,-,1.727.541.057,,,1727541057.0
