row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Ký quỹ môi giới,2.055.650.000.000,1.950.650.000.000,,2055650000000.0,1950650000000.0
Hà An,Hà An,Hà An,Tạm hoàn lại tiền thu,,,,,
Hà An,Hà An > Hà An,Hà An,hộ chủ đầu tư,1.173.468.057.975,1.727.478.421.906,,1173468057975.0,1727478421906.0
Charm & CI,Hà An > Charm & CI,Charm & CI,Ký quỹ môi giới,235.000.000.000,235.000.000.000,,235000000000.0,235000000000.0
Hội An,Hà An > Hội An,Hội An,Ký quỹ môi giới,87.745.000.000,-,,87745000000.0,
Hà Thuận Hùng,Hà An > Hà Thuận Hùng,Hà Thuận Hùng,Ký quỹ môi giới,31.114.000.000,-,,31114000000.0,
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Tạm hoàn lại tiền thu,,,,,
Hà Thuận Hùng,Hà Thuận Hùng > Hà Thuận Hùng,Hà Thuận Hùng,hộ chủ đầu tư,26.896.334.123,35.164.513.987,,26896334123.0,35164513987.0
Đất Xanh Miền Bắc,Hà Thuận Hùng > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Cổ tức,16.252.870.000,16.252.870.000,,16252870000.0,16252870000.0
DXG,Hà Thuận Hùng > DXG,DXG,Chi hộ,11.464.234.440,2.480.489.982,,11464234440.0,2480489982.0
Regal Group,Hà Thuận Hùng > Regal Group,Regal Group,Cổ tức,9.900.000.000,9.900.000.000,,9900000000.0,9900000000.0
Công nghệ BĐS,Hà Thuận Hùng > Công nghệ BĐS,Công nghệ BĐS,Cho mượn,6.000.000.000,6.000.000.000,,6000000000.0,6000000000.0
Công nghệ BĐS,Hà Thuận Hùng > Công nghệ BĐS,Công nghệ BĐS,Lãi cho vay,469.027.778,469.027.778,,469027778.0,469027778.0
LinkGroup,Hà Thuận Hùng > LinkGroup,LinkGroup,Lãi cho vay,4.780.952.050,173.178.083,,4780952050.0,173178083.0
DXMD,Hà Thuận Hùng > DXMD,DXMD,Ký quỹ môi giới,500.000.000,-,,500000000.0,
Cara Group,Cara Group,Cara Group,Góp vốn theo,,,,,
Cara Group,Cara Group > Cara Group,Cara Group,HĐHTKD,1.842.105.263,1.842.105.263,,1842105263.0,1842105263.0
Cara Group,Cara Group > Cara Group,Cara Group,Lãi cho vay,425.753.424,-,,425753424.0,
Cara Group,Cara Group > Cara Group,Cara Group,Cổ tức,-,9.988.304.094,,,9988304094.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Góp vốn theo,,,,,
Đất Xanh Miền Nam,Đất Xanh Miền Nam > Đất Xanh Miền Nam,Đất Xanh Miền Nam,HĐHTKD,1.015.472.100,1.015.472.100,,1015472100.0,1015472100.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Lãi cho vay,25.801.212,1.558.001.568,,25801212.0,1558001568.0
,,,,3.662.549.608.365,3.997.972.384.761,,3662549608365.0,3997972384761.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Hội An,Phải thu dài hạn khác > Hội An,Hội An,Ký quỹ môi giới,-,38.150.000.000,,,38150000000.0
Hà Thuận Hùng,Phải thu dài hạn khác > Hà Thuận Hùng,Hà Thuận Hùng,Ký quỹ môi giới,-,31.114.000.000,,,31114000000.0
,,,,-,69.264.000.000,,,69264000000.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
LinkGroup (*),Phải thu về cho vay ngắn hạn > LinkGroup (*),LinkGroup (*),Cho vay,64.500.000.000,64.500.000.000,,64500000000.0,64500000000.0
Nam Việt (**),Phải thu về cho vay ngắn hạn > Nam Việt (**),Nam Việt (**),Cho vay,36.000.000.000,-,,36000000000.0,
Cara Group (****),Phải thu về cho vay ngắn hạn > Cara Group (****),Cara Group (****),Cho vay,10.000.000.000,-,,10000000000.0,
Đất Xanh Miền Nam,Phải thu về cho vay ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Cho vay,-,13.931.175.222,,,13931175222.0
,,,,110.500.000.000,78.431.175.222,,110500000000.0,78431175222.0
