row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Hà An,Hà An,Hà An,Ký quỹ dự ánThu hồi ký quỹCung cấp dịch vụ môi giớiThu hồi gốc vayLãi cho vay,305.000.000.000200.000.000.00064.744.285.308-,----53.530.945.39468.657.481.5974.702.861.484,,,
Regal Group,Hà An > Regal Group,Regal Group,Cổ tứcGóp vốn,115.830.000.000110.000.000.000,----,,1.1583000000011e+23,
Hội An,Hà An > Hội An,Hội An,Ký quỹ dự ánCung cấp dịch vụ môi giới,49.595.000.0005.283.461.530,----,,4.9595000000528345e+20,
DXMD Việt Nam,Hà An > DXMD Việt Nam,DXMD Việt Nam,Cung cấp dịch vụ môi giớiPhí dịch vụ môi giớiKý quỹ dự án,39.300.988.3748.011.213.774500.000.000,93.277.0492.919.125.781-,,3.930098837480112e+29,
Nam Việt,Hà An > Nam Việt,Nam Việt,Cho vay,36.000.000.000,-,,36000000000.0,
Đất Xanh Miền Tây,Hà An > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Góp vốn,22.623.000.000,-,,22623000000.0,
Linkhouse,Hà An > Linkhouse,Linkhouse,Phí dịch vụ môi giớiNhận ký quỹHoàn ký quỹ,17.757.490.9533.130.000.0001.507.500.000,----70.000.000,,1.7757490953313e+30,
Đất Xanh Miền Nam,Hà An > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Thu hồi gốc vayHoàn ký quỹThu hồi lãi vayLãi cho vayDoanh thu được chia từ HĐHTKDPhí dịch vụ môi giớiCung cấp dịch vụ môi giới,13.931.175.2226.500.000.0002.108.531.167576.330.811,----1.151.898.26818.727.272.7282.798.596.62090.385.065,,1.393117522265e+39,
Cara Group,Cara Group,Cara Group,Cho vayNhận cổ tứcLãi cho vayThu hồi vốn HTKDPhí dịch vụ môi giớiDoanh thu được chia từ HĐHTKD,10.000.000.0009.988.304.094425.753.424----,----5.157.894.737242.445.55848.540.064,,,
Hà Thuận Hùng,Cara Group > Hà Thuận Hùng,Hà Thuận Hùng,Cung cấp dịch vụ môi giới,6.303.769.669,15.162.686.034,,6303769669.0,15162686034.0
