row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),Phải trả ngắn hạn khác (TM số 23) (tiếp theo),,,,
Bà Hồ Thị Kim Chi,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,Nhận góp vốn BCC,-,55.500.000,,,,55500000.0
Bà Lê Thùy Dương,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Bà Lê Thùy Dương,Bà Lê Thùy Dương,Bên liên quan,Nhận góp vốn BCC,-,50.000.000,,,,50000000.0
Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Công ty liên quan,Cho mượn tạm,-,10.666.989,,,,10666989.0
Công ty Cổ phần Hoàng Anh Ban Mê,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công ty liên quan,Cho mượn tạm,-,5.711.421,,,,5711421.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Cho mượn tạm,-,3.000.000,,,,3000000.0
Công ty TNHH An Tiến,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Cho mượn tạm Cổ tức phải trả,-,2.654.2762.034.000,,,,26542762034000.0
Ông Dương Hoàng Bắc,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Cho mượn tạm,-,1.958.300,,,,1958300.0
Công ty Cổ phần Xây dựng Huynh Đệ,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Cho mượn tạm,-,22.147.125,,,,22147125.0
Các bên liên quan khác,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Các khoản khác,1.687.710,3.160.011,,,1687710.0,3160011.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 23) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,202.914.128,2.144.930.519,,,202914128.0,2144930519.0
Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),,,,
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 23) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Nhận góp vốn BCCKhác,550.000.000,550.000.000,,,550000000.0,550000000.0
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 23) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Nhận góp vốn BCCKhác,2.034.000,-,,,2034000.0,
Ông Đoàn Nguyên Đức,Phải trả dài hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Nhận góp vốn BCC,180.000.000,-,,,180000000.0,
Bà Hồ Thị Kim Chi,Phải trả dài hạn khác (TM số 23) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,Nhận góp vốn BCC,105.000.000,-,,,105000000.0,
Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Phải trả dài hạn khác (TM số 23) > Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Công ty liên quan,Khác,7.666.626,-,,,7666626.0,
Các bên khác,Phải trả dài hạn khác (TM số 23) > Các bên khác,Các bên khác,Các bên liên quan,Khác,25.148,77.566,,,25148.0,77566.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 23) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,844.725.774,550.077.566,,,844725774.0,550077566.0
