row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,,
Nhóm An Phú (*),Phải thu về cho vay ngắn hạn (TM số 8) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),489.039.660,1.090.388.994,,,489039660.0,1090388994.0
Công ty Cổ phần Xây Dương và Phát Triển Nhà Hoàng Anh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Xây Dương và Phát Triển Nhà Hoàng Anh,Công ty Cổ phần Xây Dương và Phát Triển Nhà Hoàng Anh,Công ty liên kết,"9,00 - 11,00",82.203.000,-,,,82203000.0,
Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Công ty liên quan,"0,00",56.653.075,-,,0.0,56653075.0,
Công ty TNHH MTV Xây lắp điện,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH MTV Xây lắp điện,Công ty TNHH MTV Xây lắp điện,Công ty liên quan,"0,00",5.815.217,-,,0.0,5815217.0,
Ông Nguyễn Quyền,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Quyền,Ông Nguyễn Quyền,Bên liên quan,-,-,935.057.000,,,,935057000.0
Ông Từ Minh Đăng,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Từ Minh Đăng,Ông Từ Minh Đăng,Bên liên quan,-,-,676.200.000,,,,676200000.0
Ông Hoàng Trọng Hưng,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Hoàng Trọng Hưng,Ông Hoàng Trọng Hưng,Bên liên quan,-,-,516.700.000,,,,516700000.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Công ty con,-,-,445.627.940,,,,445627940.0
Công ty TNHH MTV Phát triển Nông nghiệp Thăng Long,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH MTV Phát triển Nông nghiệp Thăng Long,Công ty TNHH MTV Phát triển Nông nghiệp Thăng Long,Công ty liên quan,-,-,49.900.700,,,,49900700.0
Ông Đoàn Nguyên Đức,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,-,-,33.990.410,,,,33990410.0
Công ty Cổ Phần Long Thịnh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ Phần Long Thịnh,Công ty Cổ Phần Long Thịnh,Công ty liên quan,-,-,4.170.750,,,,4170750.0
Công ty Cổ phần Hoàng Anh Ban Mê,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công ty liên quan,-,-,2.925.526,,,,2925526.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,633.710.952,3.754.961.320,,,633710952.0,3754961320.0
