row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Nhóm An Phú (*),Phải thu ngắn hạn khác (TM số 8) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),392.803.024,1.108.691.749,,,392803024.0,1108691749.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vayChi hộ,401.296.9875.960.659,273.952.1705.003.691,,,4012969875960659.0,2739521705003691.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vay,-,43.737.257,,,,43737257.0
Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,74.324.611-,47.146.8873.266.859,,,,471468873266859.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vay,16.351.985,21.273.973,,,16351985.0,21273973.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Lãi cho vay,2.783.333,-,,,2783333.0,
Công ty TNHH MTV Hoàng Anh Lumphat,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty con,Chi trả hộ,4.178.897,4.250.891,,,4178897.0,4250891.0
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Lãi vay,33.288.966,-,,,33288966.0,
Công ty Cổ phần Cao su Trung Nguyên,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Lãi cho vayChi trả hộ,-126.000,3.833.715-,,,-126000.0,
Công ty TNHH Hoàng Anh Oyadav,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Chi trả hộ,2.310.128,2.754.469,,,2310128.0,2754469.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,330.772.62812.682.058,250.870.12614.387.260,,,3.3077262812682056e+16,2.508701261438726e+16
Công ty TNHH Điện Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,Chi trả hộ,32.645.815,-,,,32645815.0,
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Lãi cho vayKhác,9.746.46642.400,60.549.4611.506.409,,,974646642400.0,605494611506409.0
Công ty TNHH Daun Penh Agrico,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty con,Chi trả hộ,2.723.569,2.730.178,,,2723569.0,2730178.0
Ông Phan Thanh Thử,Phải thu ngắn hạn khác (TM số 8) > Ông Phan Thanh Thử,Ông Phan Thanh Thử,Thành viên HĐQT,Tạm ứng,1.600.000,1.600.000,,,1600000.0,1600000.0
Các công ty khác,Phải thu ngắn hạn khác (TM số 8) > Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,482.204,861.199,,,482204.0,861199.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,1.324.119.730,1.846.416.294,,,1324119730.0,1846416294.0
