row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lãi cho vay,28.909.696,81.762.040,,,28909696.0,81762040.0
Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty Cổ phần Đầu tư Bắt động sản An Phú,Công ty liên quan,Lãi cho vay,33.387.832,293.269.101,,,33387832.0,293269101.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Lãi cho vayBán hàng và Cung cấp dịch vụ xây dựng,3.913.4775.001.558,7.913.439-,,,39134775001558.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Lãi cho vay,14.109.705,2.106.001,,,14109705.0,2106001.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vay,12.428.087,16.222.042,,,12428087.0,16222042.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Lãi cho vayBán hàng và Cung cấp dịch vụ xây dựng,16.661.08327.069.912,-,,,1666108327069912.0,
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,Lãi cho vay,8.434.522,-,,,8434522.0,
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Lãi cho vay,10.116.917,-,,,10116917.0,
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Lãi cho vay,11.893.703,15.119.538,,,11893703.0,15119538.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Bán hàng và Cung cấp dịch vụ,23.325.639,-,,,23325639.0,
Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Công ty con,Lãi cho vay,118.172.422,-,,,118172422.0,
Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Lãi cho vay,3.447.987,-,,,3447987.0,
Ông Từ Minh Đăng,Ông Từ Minh Đăng,Ông Từ Minh Đăng,Bên liên quan,Cho mượn,676.200.000,-,,,676200000.0,
Ông Nguyễn Quyền,Ông Nguyễn Quyền,Ông Nguyễn Quyền,Bên liên quan,Cho mượn,935.057.000,-,,,935057000.0,
Ông Hoàng Trọng Hưng,Ông Hoàng Trọng Hưng,Ông Hoàng Trọng Hưng,Bên liên quan,Cho mượn,516.700.000,-,,,516700000.0,
