row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
Nhóm An Phú (*),Phải thu ngắn hạn của khách hàng (TM số 5) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),61.457.875,19.799.713,,,61457875.0,19799713.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cung cấp dịch vụ xây dựng,16.399.585,2.909.045,,,16399585.0,2909045.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,13.502.517,15.420.987,,,13502517.0,15420987.0
Công ty TNHH MTV Hoàng Anh Lum Phát,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Hoàng Anh Lum Phát,Công ty TNHH MTV Hoàng Anh Lum Phát,Công ty con,Bán hàng hóa,14.523.252,8.266.597,,,14523252.0,8266597.0
Công ty TNHH MTV PTNN Đại Thắng,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV PTNN Đại Thắng,Công ty TNHH MTV PTNN Đại Thắng,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,12.350.729,3.980.945,,,12350729.0,3980945.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Bán hàng hóa,9.134.694,52.016.116,,,9134694.0,52016116.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Cung cấp dịch vụ xây dựng,5.694.504,5.039.704,,,5694504.0,5039704.0
Công ty TNHH Daun Penh Agrico,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty con,Bán hàng hóa,9.999.240,10.023.503,,,9999240.0,10023503.0
Công ty Cổ phần An Đông Mia,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Bán hàng hóa và cung cấp dịch vụ,8.781.328,4.481.111,,,8781328.0,4481111.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Cung cấp dịch vụ xây dựng,5.888.019,5.869.574,,,5888019.0,5869574.0
Công ty Cổ phần IAPACCO,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,Cung cấp dịch vụ xây dựng,2.930.603,-,,,2930603.0,
Công ty Cổ phần IAPACCO,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,Cung cấp dịch vụ,1.010.461,-,,,1010461.0,
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Bán hàng hóa và cung cấp dịch vụ xây dựng,2.617.317,10.972.000,,,2617317.0,10972000.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Bán hàng hóa và cung cấp dịch vụ,1.418.474,47.923.170,,,1418474.0,47923170.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Cung cấp dịch vụ xây dựng,676.543,1.162.957,,,676543.0,1162957.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty con,Bán hàng hóa và cung cấp dịch vụ,1.194.518,815.590,,,1194518.0,815590.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Bán hàng hóa,24.707,30.431.054,,,24707.0,30431054.0
Các công ty khác,Phải thu ngắn hạn của khách hàng (TM số 5) > Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,1.687.938,8.004.043,,,1687938.0,8004043.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 5) > TỔNG CỘNG,TỔNG CỘNG,,,169.292.304,227.116.109,,,169292304.0,227116109.0
