row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,818.595.893.239,1.255.248.826.671,818595893239.0,1255248826671.0
Công ty Cổ phần Điều Organic Bissau,Công ty Cổ phần Điều Organic Bissau,Công ty Cổ phần Điều Organic Bissau,383.088.754.500,-,383088754500.0,
Công ty Cổ phần Nông nghiệp Bảo Lâm,Công ty Cổ phần Nông nghiệp Bảo Lâm,Công ty Cổ phần Nông nghiệp Bảo Lâm,266.080.131.000,187.665.941.880,266080131000.0,187665941880.0
Công ty Cổ phần Kho vận An Phú,Công ty Cổ phần Kho vận An Phú,Công ty Cổ phần Kho vận An Phú,146.596.623.000,-,146596623000.0,
Công ty Cổ phần Việt Phi,Công ty Cổ phần Việt Phi,Công ty Cổ phần Việt Phi,-,434.934.149.750,,434934149750.0
Công ty TNHH Thương mại Hoàng Giang,Công ty TNHH Thương mại Hoàng Giang,Công ty TNHH Thương mại Hoàng Giang,-,329.134.804.490,,329134804490.0
Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại Xuất Nhập Khẩu Tân Thành Nam,-,192.024.997.500,,192024997500.0
Công ty Cổ phần Kinh doanh Thương mại Long Hung,Công ty Cổ phần Kinh doanh Thương mại Long Hung,Công ty Cổ phần Kinh doanh Thương mại Long Hung,-,56.836.756.350,,56836756350.0
Các bên khác,Các bên khác,Các bên khác,22.830.384.739,54.652.176.701,22830384739.0,54652176701.0
Phải thu các bên liên quan (Thuyết minh số 35),Phải thu các bên liên quan (Thuyết minh số 35),Phải thu các bên liên quan (Thuyết minh số 35),71.863.962.065,58.713.403.885,71863962065.0,58713403885.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,890.459.855.304,1.313.962.230.556,890459855304.0,1313962230556.0
