row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),Phải thu dài hạn khác (TM số 8) (tiếp theo),,,,
Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Phải thu về BCC Lãi cho vay,493.211.100 104.882,307.266.100 -,,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty Cổ phần An Đông Mia > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vay,41.348.533,-,,,41348533.0,
Công ty Cổ phần Xây dựng và và Phát triển Nhà Hoàng Anh,Công ty Cổ phần An Đông Mia > Công ty Cổ phần Xây dựng và và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và và Phát triển Nhà Hoàng Anh,Công ty con,Lãi cho vay,4.495.150,-,,,4495150.0,
TỔNG CỘNG,Công ty Cổ phần An Đông Mia > TỔNG CỘNG,TỔNG CỘNG,,,539.159.665,307.266.100,,,539159665.0,307266100.0
Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),Phải trả cho người bán ngắn hạn (TM số 15),,,,
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa và dịch vụ,15.372.931,9.169.704,,,15372931.0,9169704.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Mua hàng hóa,9.209.211,9.108.189,,,9209211.0,9108189.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,-,808.520,,,,808520.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Phải trả phát triển vườn cây Mua hàng hóa và dịch vụ,-,20.284.988,,,,20284988.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Phải trả phát triển vườn cây Mua hàng hóa và dịch vụ,-,5.110.433,,,,5110433.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Mua dịch vụ,161.647,661.817,,,161647.0,661817.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Mua hàng hóa,2.606.444,772.802,,,2606444.0,772802.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bên liên quan,Mua hàng hóa và dịch vụ,2.439.909,1.540.887,,,2439909.0,1540887.0
Công ty Cổ phần Cao su Trung Nguyên,Phải trả cho người bán ngắn hạn (TM số 15) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Mua hàng hóa và dịch vụ,-,60.549.000,,,,60549000.0
Các công ty khác,Phải trả cho người bán ngắn hạn (TM số 15) > Các công ty khác,Các công ty khác,Bên liên quan,Các khoản khác,48.460,11.504,,,48460.0,11504.0
TỔNG CỘNG,Phải trả cho người bán ngắn hạn (TM số 15) > TỔNG CỘNG,TỔNG CỘNG,,,29.838.602,108.017.844,,,29838602.0,108017844.0
