row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Chăn nuôi Minh Thành,Phải thu ngắn hạn của khách hàng > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Bán hàng,107.255.954.720,118.231.891.820,,107255954720.0,118231891820.0
Anh Vũ Phú Yên,Phải thu ngắn hạn của khách hàng > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Bán hàng,49.101.345.001,94.788.706.238,,49101345001.0,94788706238.0
Trang Trại Xanh 1,Phải thu ngắn hạn của khách hàng > Trang Trại Xanh 1,Trang Trại Xanh 1,Bán hàng,46.769.998.737,43.849.093.160,,46769998737.0,43849093160.0
Tâm Hưng,Phải thu ngắn hạn của khách hàng > Tâm Hưng,Tâm Hưng,Bán hàng,42.985.660.341,24.302.568.440,,42985660341.0,24302568440.0
Thanh Xuân,Phải thu ngắn hạn của khách hàng > Thanh Xuân,Thanh Xuân,Bán hàng,34.165.328.326,-,,34165328326.0,
BAF Logistic Việt Nam,Phải thu ngắn hạn của khách hàng > BAF Logistic Việt Nam,BAF Logistic Việt Nam,Bán hàng,24.692.170.000,-,,24692170000.0,
Đông An Khánh,Phải thu ngắn hạn của khách hàng > Đông An Khánh,Đông An Khánh,Bán hàng,19.158.437.707,9.563.422.383,,19158437707.0,9563422383.0
Chăn nuôi TMC,Phải thu ngắn hạn của khách hàng > Chăn nuôi TMC,Chăn nuôi TMC,Bán hàng,18.407.306.056,-,,18407306056.0,
Bắc An Khánh,Phải thu ngắn hạn của khách hàng > Bắc An Khánh,Bắc An Khánh,Bán hàng,18.028.425.730,79.388.076.100,,18028425730.0,79388076100.0
Hải Đăng Tây Ninh,Phải thu ngắn hạn của khách hàng > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Bán hàng,16.248.534.959,10.009.268.500,,16248534959.0,10009268500.0
Tân Châu,Phải thu ngắn hạn của khách hàng > Tân Châu,Tân Châu,Bán hàng,5.768.635.166,31.574.650.660,,5768635166.0,31574650660.0
Hòa Phát Bốn,Phải thu ngắn hạn của khách hàng > Hòa Phát Bốn,Hòa Phát Bốn,Bán hàng,4.508.875.661,-,,4508875661.0,
Tân Long,Phải thu ngắn hạn của khách hàng > Tân Long,Tân Long,Bán hàng,204.636.348,276.020.676,,204636348.0,276020676.0
Nam An Khánh,Phải thu ngắn hạn của khách hàng > Nam An Khánh,Nam An Khánh,Bán hàng,105.779.604,1.338.062.100,,105779604.0,1338062100.0
BAF Tây Ninh,Phải thu ngắn hạn của khách hàng > BAF Tây Ninh,BAF Tây Ninh,Bán hàng,72.018.310,-,,72018310.0,
Sông Hinh,Phải thu ngắn hạn của khách hàng > Sông Hinh,Sông Hinh,Bán hàng,4.980.007,-,,4980007.0,
Chi nhánh Siba Food Việt Nam tại Hà Nội,Phải thu ngắn hạn của khách hàng > Chi nhánh Siba Food Việt Nam tại Hà Nội,Chi nhánh Siba Food Việt Nam tại Hà Nội,Bán hàng,-,26.787.644.984,,,26787644984.0
Siba Food Việt Nam,Phải thu ngắn hạn của khách hàng > Siba Food Việt Nam,Siba Food Việt Nam,Bán hàng,-,24.715.415.253,,,24715415253.0
Trang Trại Xanh 2,Phải thu ngắn hạn của khách hàng > Trang Trại Xanh 2,Trang Trại Xanh 2,Bán hàng,-,8.661.519.910,,,8661519910.0
A An,Phải thu ngắn hạn của khách hàng > A An,A An,Bán hàng,-,6.709.599.036,,,6709599036.0
Siba Tech,Phải thu ngắn hạn của khách hàng > Siba Tech,Siba Tech,Bán hàng,-,1.730.484,,,1730484.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,387.478.086.673,480.197.669.744,,387478086673.0,480197669744.0
