row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Trang Trại Xanh 2,Phải thu về cho vay ngắn hạn > Trang Trại Xanh 2,Trang Trại Xanh 2,Cho vay,225.863.025.836,184.811.195.625,,225863025836.0,184811195625.0
Trang Trại Xanh 1,Phải thu về cho vay ngắn hạn > Trang Trại Xanh 1,Trang Trại Xanh 1,Cho vay,208.418.217.000,181.268.217.000,,208418217000.0,181268217000.0
Đông An Khánh,Phải thu về cho vay ngắn hạn > Đông An Khánh,Đông An Khánh,Cho vay,180.505.000.000,128.305.000.000,,180505000000.0,128305000000.0
Nam An Khánh,Phải thu về cho vay ngắn hạn > Nam An Khánh,Nam An Khánh,Cho vay,147.905.408.510,127.275.408.510,,147905408510.0,127275408510.0
Anh Vũ Phú Yên,Phải thu về cho vay ngắn hạn > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Cho vay,122.465.680.090,98.215.680.090,,122465680090.0,98215680090.0
Tâm Hưng,Phải thu về cho vay ngắn hạn > Tâm Hưng,Tâm Hưng,Cho vay,84.678.587.939,43.065.443.835,,84678587939.0,43065443835.0
Hải Đăng Tây Ninh,Phải thu về cho vay ngắn hạn > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Cho vay,78.364.237.000,170.864.237.000,,78364237000.0,170864237000.0
Tây An Khánh,Phải thu về cho vay ngắn hạn > Tây An Khánh,Tây An Khánh,Cho vay,72.980.000.000,19.650.000.000,,72980000000.0,19650000000.0
Logistic BAF,Phải thu về cho vay ngắn hạn > Logistic BAF,Logistic BAF,Cho vay,50.215.749.141,13.115.749.141,,50215749141.0,13115749141.0
Thành Đạt Gia Lai,Phải thu về cho vay ngắn hạn > Thành Đạt Gia Lai,Thành Đạt Gia Lai,Cho vay,43.065.443.835,-,,43065443835.0,
Chăn nuôi TMC,Phải thu về cho vay ngắn hạn > Chăn nuôi TMC,Chăn nuôi TMC,Cho vay,40.141.000.000,-,,40141000000.0,
Tân Châu,Phải thu về cho vay ngắn hạn > Tân Châu,Tân Châu,Cho vay,37.519.412.603,72.669.412.603,,37519412603.0,72669412603.0
Thanh Xuân,Phải thu về cho vay ngắn hạn > Thanh Xuân,Thanh Xuân,Cho vay,36.670.000.000,-,,36670000000.0,
Chăn nuôi Bảo Ngọc,Phải thu về cho vay ngắn hạn > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Cho vay,33.220.000.000,38.178.606.034,,33220000000.0,38178606034.0
Hòa Phát Bốn,Phải thu về cho vay ngắn hạn > Hòa Phát Bốn,Hòa Phát Bốn,Cho vay,32.115.454.040,-,,32115454040.0,
Sông Hinh,Phải thu về cho vay ngắn hạn > Sông Hinh,Sông Hinh,Cho vay,28.488.989.313,-,,28488989313.0,
Chăn nuôi Minh Thành,Phải thu về cho vay ngắn hạn > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Cho vay,-,51.130.000.000,,,51130000000.0
BAF Tây Ninh,Phải thu về cho vay ngắn hạn > BAF Tây Ninh,BAF Tây Ninh,Cho vay,-,40.000.000.000,,,40000000000.0
Bắc An Khánh,Phải thu về cho vay ngắn hạn > Bắc An Khánh,Bắc An Khánh,Cho vay,-,115.600.000.000,,,115600000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.422.990.761.472,1.284.148.949.838,,1422990761472.0,1284148949838.0
