row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Chăn nuôi Kim Hợi,Phải thu dài hạn khác > Chăn nuôi Kim Hợi,Chăn nuôi Kim Hợi,Đặt cọc,11.280.000.000,11.280.000.000,,11280000000.0,11280000000.0
Chăn nuôi Bảo Ngọc,Phải thu dài hạn khác > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Đặt cọc,2.800.000.000,2.800.000.000,,2800000000.0,2800000000.0
Chăn nuôi TMC,Phải thu dài hạn khác > Chăn nuôi TMC,Chăn nuôi TMC,Đặt cọc,1.300.000.000,-,,1300000000.0,
TỔNG CỘNG,Phải thu dài hạn khác > TỔNG CỘNG,TỔNG CỘNG,,15.380.000.000,14.080.000.000,,15380000000.0,14080000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Hải Đăng Tây Ninh,Phải trả người bán ngắn hạn > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,Mua hàng,291.416.794.089,4.501.778.500,,291416794089.0,4501778500.0
BAF Tây Ninh,Phải trả người bán ngắn hạn > BAF Tây Ninh,BAF Tây Ninh,Mua hàng,225.858.401.872,270.724.694.586,,225858401872.0,270724694586.0
Tân Châu,Phải trả người bán ngắn hạn > Tân Châu,Tân Châu,Mua hàng,150.636.727.198,8.495.930.000,,150636727198.0,8495930000.0
Trang Trại Xanh 2,Phải trả người bán ngắn hạn > Trang Trại Xanh 2,Trang Trại Xanh 2,Mua hàng,137.781.649.437,58.469.768.410,,137781649437.0,58469768410.0
Siba Tech,Phải trả người bán ngắn hạn > Siba Tech,Siba Tech,Xây dựng trại,112.394.195.051,-,,112394195051.0,
Bắc An Khánh,Phải trả người bán ngắn hạn > Bắc An Khánh,Bắc An Khánh,Mua hàng,71.926.304.203,192.770.936.860,,71926304203.0,192770936860.0
Trang Trại Xanh 1,Phải trả người bán ngắn hạn > Trang Trại Xanh 1,Trang Trại Xanh 1,Mua hàng,52.917.175.084,25.477.854.020,,52917175084.0,25477854020.0
Nam An Khánh,Phải trả người bán ngắn hạn > Nam An Khánh,Nam An Khánh,Mua hàng,40.509.990.632,56.987.048.310,,40509990632.0,56987048310.0
Tâm Hưng,Phải trả người bán ngắn hạn > Tâm Hưng,Tâm Hưng,Mua hàng,28.192.032.010,1.614.358.000,,28192032010.0,1614358000.0
Anh Vũ Phú Yên,Phải trả người bán ngắn hạn > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Mua hàng,21.831.488.239,28.736.982.173,,21831488239.0,28736982173.0
Chăn nuôi Minh Thành,Phải trả người bán ngắn hạn > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Mua hàng,8.616.762.691,152.103.271.013,,8616762691.0,152103271013.0
Logistic BAF,Phải trả người bán ngắn hạn > Logistic BAF,Logistic BAF,Sử dụng dịch vụ,7.616.158.352,3.255.152.976,,7616158352.0,3255152976.0
Đông An Khánh,Phải trả người bán ngắn hạn > Đông An Khánh,Đông An Khánh,Mua hàng,4.014.349.989,20.377.130.595,,4014349989.0,20377130595.0
Tân Long,Phải trả người bán ngắn hạn > Tân Long,Tân Long,Mua hàng,1.470.020.000,182.084.109,,1470020000.0,182084109.0
Thanh Xuân,Phải trả người bán ngắn hạn > Thanh Xuân,Thanh Xuân,Mua hàng,1.249.258.075,-,,1249258075.0,
Chăn nuôi Bảo Ngọc,Phải trả người bán ngắn hạn > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Sử dụng dịch vụ,1.100.000.000,834.000.000,,1100000000.0,834000000.0
Chăn nuôi TMC,Phải trả người bán ngắn hạn > Chăn nuôi TMC,Chăn nuôi TMC,Mua hàng,671.770.553,-,,671770553.0,
Siba Cư Jút,Phải trả người bán ngắn hạn > Siba Cư Jút,Siba Cư Jút,Mua hàng,611.891.203,-,,611891203.0,
Salacons,Phải trả người bán ngắn hạn > Salacons,Salacons,Mua hàng,43.636.364,704.993.636,,43636364.0,704993636.0
Siba Food Việt Nam,Phải trả người bán ngắn hạn > Siba Food Việt Nam,Siba Food Việt Nam,Mua hàng,-,29.479.651.208,,,29479651208.0
Phân bón Hữu cơ Vi sinh BAF,Phải trả người bán ngắn hạn > Phân bón Hữu cơ Vi sinh BAF,Phân bón Hữu cơ Vi sinh BAF,Mua hàng,-,5.152.186.582,,,5152186582.0
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.158.858.605.042,859.867.820.978,,1158858605042.0,859867820978.0
