row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
- Công ty TNHH Lâm nghiệp Phương Mai,Ngắn hạn > - Công ty TNHH Lâm nghiệp Phương Mai,- Công ty TNHH Lâm nghiệp Phương Mai,24.874.230.764,24.874.230.764,24874230764.0,24874230764.0
- Công ty Cổ phần Vận tải Vũ Thành,Ngắn hạn > - Công ty Cổ phần Vận tải Vũ Thành,- Công ty Cổ phần Vận tải Vũ Thành,6.038.214.702,5.541.890.937,6038214702.0,5541890937.0
- Công ty TNHH Thương mại và Xây dựng DLC,Ngắn hạn > - Công ty TNHH Thương mại và Xây dựng DLC,- Công ty TNHH Thương mại và Xây dựng DLC,-,8.836.080.696,,8836080696.0
- Các nhà cung cấp khác,Ngắn hạn > - Các nhà cung cấp khác,- Các nhà cung cấp khác,47.562.998.660,19.518.387.070,47562998660.0,19518387070.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,78.475.444.126,58.770.589.467,78475444126.0,58770589467.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
- Công ty TNHH MTV Thương mại Giấy Hưng Thịnh,Dài hạn > - Công ty TNHH MTV Thương mại Giấy Hưng Thịnh,- Công ty TNHH MTV Thương mại Giấy Hưng Thịnh,-,12.487.270.441,,12487270441.0
- Công ty TNHH Xây dựng N.D.G,Dài hạn > - Công ty TNHH Xây dựng N.D.G,- Công ty TNHH Xây dựng N.D.G,-,2.999.678.000,,2999678000.0
- Công ty Cổ phần Thành Phát,Dài hạn > - Công ty Cổ phần Thành Phát,- Công ty Cổ phần Thành Phát,-,2.350.000.000,,2350000000.0
- Các nhà cung cấp khác,Dài hạn > - Các nhà cung cấp khác,- Các nhà cung cấp khác,669.883.784,8.698.100.148,669883784.0,8698100148.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,669.883.784,26.535.048.589,669883784.0,26535048589.0
Dự phòng các khoản trả trước khó đòi Trong đó:,Dài hạn > Dự phòng các khoản trả trước khó đòi Trong đó:,Dự phòng các khoản trả trước khó đòi Trong đó:,(16.710.763.755),(11.259.725.213),-16710763755.0,-11259725213.0
Ngắn hạn,Dài hạn > Ngắn hạn,Ngắn hạn,(16.040.879.971),-,-16040879971.0,
Dài hạn,Dài hạn > Dài hạn,Dài hạn,(669.883.784),(11.259.725.213),-669883784.0,-11259725213.0
