row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Siba Tech,Siba Tech,Siba Tech,Xây dựng trại,274.611.523.428,551.312.592.140,,274611523428.0,551312592140.0
Siba Tech,Siba Tech,Siba Tech,Bán hàng,7.874.904,-,,7874904.0,
Siba Food,Siba Food,Siba Food,Bán hàng,182.241.255.181,183.563.188.988,,182241255181.0,183563188988.0
Siba Food,Siba Food,Siba Food,Mua hàng,56.968.718.202,9.922.387.409,,56968718202.0,9922387409.0
Siba Holdings,Siba Holdings,Siba Holdings,Trả cổ tức bằng,Trả cổ tức bằng,Trả cổ tức bằng,,,
Siba Holdings,Siba Holdings > Siba Holdings,Siba Holdings,cổ phiếu,98.774.930.000,-,,98774930000.0,
Siba Holdings,Siba Holdings > Siba Holdings,Siba Holdings,Mua cổ phiếu,40.048.420.000,,,40048420000.0,
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,Trả cổ tức bằng,Trả cổ tức bằng,Trả cổ tức bằng,,,
Bà Bùi Hương Giang,Bà Bùi Hương Giang > Bà Bùi Hương Giang,Bà Bùi Hương Giang,cổ phiếu,7.937.300.000,-,,7937300000.0,
Bà Bùi Hương Giang,Bà Bùi Hương Giang > Bà Bùi Hương Giang,Bà Bùi Hương Giang,Mua cổ phiếu,3.000.000.000,-,,3000000000.0,
A An,Bà Bùi Hương Giang > A An,A An,Bán hàng,6.212.591.700,-,,6212591700.0,
A An,Bà Bùi Hương Giang > A An,A An,Mua hàng,287.800.000,455.632.238,,287800000.0,455632238.0
Sibacons,Bà Bùi Hương Giang > Sibacons,Sibacons,Mua hàng,4.008.676.390,4.321.933.335,,4008676390.0,4321933335.0
Solacons,Bà Bùi Hương Giang > Solacons,Solacons,Mua hàng,1.197.271.724,-,,1197271724.0,
Ông Ngô Cao Cường,Bà Bùi Hương Giang > Ông Ngô Cao Cường,Ông Ngô Cao Cường,Mua cổ phiếu,900.000.000,-,,900000000.0,
Ông Lê Xuân Thọ,Bà Bùi Hương Giang > Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,Mua cổ phiếu,600.000.000,-,,600000000.0,
Ông Nguyễn Quốc Văn,Bà Bùi Hương Giang > Ông Nguyễn Quốc Văn,Ông Nguyễn Quốc Văn,Mua cổ phiếu,500.000.000,-,,500000000.0,
Bà Hoàng Thị Thu Hiền,Bà Bùi Hương Giang > Bà Hoàng Thị Thu Hiền,Bà Hoàng Thị Thu Hiền,Mua cổ phiếu,300.000.000,-,,300000000.0,
Bà Nguyễn Thị Quỳnh Như,Bà Bùi Hương Giang > Bà Nguyễn Thị Quỳnh Như,Bà Nguyễn Thị Quỳnh Như,Mua cổ phiếu,300.000.000,-,,300000000.0,
Tân Long,Bà Bùi Hương Giang > Tân Long,Tân Long,Bán hàng,210.284.600,9.972.000,,210284600.0,9972000.0
Ông Trương Anh Tuấn,Bà Bùi Hương Giang > Ông Trương Anh Tuấn,Ông Trương Anh Tuấn,Mua cổ phiếu,200.000.000,-,,200000000.0,
