row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),,,,
Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty Cổ phần Hưng Thắng Lợi Gia Lai,Công ty con,Vay mượn tạm,400.000.000,-,,,400000000.0,
Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty con,Vay mượn tạmThu hộ,369.668.231-,366.218.461489.770,,,,366218461489770.0
Công ty TNHH Hoàng Anh Gia Lai Vientiane,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty con,Thu hộ,22.769.750,22.769.750,,,22769750.0,22769750.0
Bà Đoàn Thị Nguyên Nguyên,Phải trả ngắn hạn khác (TM số 19) > Bà Đoàn Thị Nguyên Nguyên,Bà Đoàn Thị Nguyên Nguyên,Bên liên quan,Vay mượn tạm,20.000.000,-,,,20000000.0,
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,Thu hộVay mượn tạm,1.393.53511.860.372,1.393.53416.720.884,,,139353511860372.0,139353416720884.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Thu hộ,13.396.900,13.396.900,,,13396900.0,13396900.0
Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Công ty Cổ phần Xây Dụng và Phát Triển Nhà Hoàng Anh,Công ty liên kết,Thu hộ,13.851.144,-,,,13851144.0,
Công ty TNHH Điện Nậm Kông 3,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Điện Nậm Kông 3,Công ty TNHH Điện Nậm Kông 3,Công ty con,Thu hộ,7.847.890,-,,,7847890.0,
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Cho mượn tạm,6.450.000,6.450.000,,,6450000.0,6450000.0
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty con,Thu hộ,6.051.722,-,,,6051722.0,
Công ty Cổ phần Cao su Trung Nguyên,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Thu hộ,3.823.162,-,,,3823162.0,
Công ty TNHH V&H Corporation (Lào),Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH V&H Corporation (Lào),Công ty TNHH V&H Corporation (Lào),Công ty con,Chỉ trả hộ,3.323.700,3.323.700,,,3323700.0,3323700.0
Công ty TNHH Điện Hoàng Anh Attapeu,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,Thu hộ,3.102.699,-,,,3102699.0,
Công ty TNHH Khoáng sản Hoàng Anh GL - Kontum,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Khoáng sản Hoàng Anh GL - Kontum,Công ty TNHH Khoáng sản Hoàng Anh GL - Kontum,Công ty con,Thu hộ,2.402.765,2.402.765,,,2402765.0,2402765.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Thu hộ,1.852.787,1.852.787,,,1852787.0,1852787.0
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 19) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,Phải trả lãi vay,-,1.204.111,,,,1204111.0
