row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),,,,
Nhóm nợ tồn động lớn (**),Phải thu về cho vay dài hạn (TM số 7) > Nhóm nợ tồn động lớn (**),Nhóm nợ tồn động lớn (**),Các công ty liên quan,(**),7.444.257.204,6.095.915.458,,,7444257204.0,6095915458.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,"12,50",649.106.397,849.513.068,,12.5,649106397.0,849513068.0
Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,Công ty con,-,275.765.936,259.169.936,,,275765936.0,259169936.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,-,358.538.725,-,,,358538725.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,"12,50",49.900.701,-,,12.5,49900701.0,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,-,-,2.314.922.877,,,,2314922877.0
Công ty Cổ phần An Đông Mia,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,-,-,514.788.888,,,,514788888.0
Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,Công ty con trước đây,-,-,53.092.286,,,,53092286.0
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên (*),Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên (*),Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên (*),Công ty liên quan trước đây,-,-,22.895.432,,,,22895432.0
Công ty Cổ phần IAPACCO,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,-,-,6.123.820,,,,6123820.0
Công ty Cổ phần Đầu tư Việt May,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Đầu tư Việt May,Công ty Cổ phần Đầu tư Việt May,Công ty liên quan,-,-,5.590.000,,,,5590000.0
Công ty TNHH Điện Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con trước đây,-,-,500.000,,,,500000.0
TỔNG CỘNG,Phải thu về cho vay dài hạn (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,,,8.777.568.963,10.122.511.765,,,8777568963.0,10122511765.0
