row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc,31/12/2017 > Giá trị có thể thu hồi,01/01/2017 > Giá gốc,01/01/2017 > Giá trị có thể thu hồi,numeric__31/12/2017 > Giá gốc,numeric__31/12/2017 > Giá trị có thể thu hồi,numeric__01/01/2017 > Giá gốc,numeric__01/01/2017 > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,,,,
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,18.638.923.517,1.336.398.652,27.389.533.311,9.680.700.052,18638923517.0,1336398652.0,27389533311.0,9680700052.0
Công ty CP Cơ khí và Xây dựng Viglacera,Công ty CP Cơ khí và Xây dựng Viglacera,Công ty CP Cơ khí và Xây dựng Viglacera,9.245.889.258,-,-,-,9245889258.0,,,
Công ty Cổ phần Long Định,Công ty Cổ phần Long Định,Công ty Cổ phần Long Định,2.036.694.445,-,2.036.694.445,-,2036694445.0,,2036694445.0,
Công ty Đầu tư Sản xuất,Công ty Đầu tư Sản xuất,Công ty Đầu tư Sản xuất,1.579.191.158,-,1.579.191.158,-,1579191158.0,,1579191158.0,
Thương mại Xuất nhập khẩu Quảng TâyCông ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,Thương mại Xuất nhập khẩu Quảng TâyCông ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,Thương mại Xuất nhập khẩu Quảng TâyCông ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,1.133.430.600,-,1.133.430.600,-,1133430600.0,,1133430600.0,
Công ty TNHH Thanh Hải,Công ty TNHH Thanh Hải,Công ty TNHH Thanh Hải,3.185.308.482,-,3.185.308.482,-,3185308482.0,,3185308482.0,
Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,2.970.619.933,-,3.000.619.933,2.492.778.671,2970619933.0,,3000619933.0,2492778671.0
Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,1.506.078.134,-,1.506.078.134,233.670.000,1506078134.0,,1506078134.0,233670000.0
Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,5.075.387.336,-,5.132.957.106,4.287.569.770,5075387336.0,,5132957106.0,4287569770.0
Công ty Cổ phần Vietbuild,Công ty Cổ phần Vietbuild,Công ty Cổ phần Vietbuild,1.486.261.400,-,1.486.261.400,1.486.261.400,1486261400.0,,1486261400.0,1486261400.0
Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,1.466.381.999,733.191.000,1.466.381.999,-,1466381999.0,733191000.0,1466381999.0,
Ông Trần Nguyễn Phúc Vũ,Ông Trần Nguyễn Phúc Vũ,Ông Trần Nguyễn Phúc Vũ,1.454.363.928,-,1.454.363.928,-,1454363928.0,,1454363928.0,
Công ty TNHH Thương mại VLXD Thành Khang,Công ty TNHH Thương mại VLXD Thành Khang,Công ty TNHH Thương mại VLXD Thành Khang,1.789.800.555,-,1.789.800.555,-,1789800555.0,,1789800555.0,
Keller Hcwgmbh,Keller Hcwgmbh,Keller Hcwgmbh,6.281.557.600,-,-,-,6281557600.0,,,
Các đối tượng nợ phải thu khác,Các đối tượng nợ phải thu khác,Các đối tượng nợ phải thu khác,141.863.243.315,13.013.557.776,164.820.241.582,64.416.771.923,141863243315.0,13013557776.0,164820241582.0,64416771923.0
,,,199.713.131.660,15.083.147.428,215.980.862.633,82.597.751.816,199713131660.0,15083147428.0,215980862633.0,82597751816.0
