row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty con,Doanh thu bán hàng,752.662,-,,,752662.0,
Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty TNHH Daun Penh Agrico,Công ty con,Doanh thu bán hàng,6.514.257,-,,,6514257.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Doanh thu bán hàng và hợp đồng xây dựng Mua hàng hóa Lãi vay từ các khoản cho vay Cho vay mượn tạm Cho vay dài hạn,762.904.846 94.129.349 131.594.105 227.710.398 883.700.000,269.353.125 - 6.990.563 - 832.250.000,,,,
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Bên liên quan,Lãi vay từ các khoản cho vay Vay mượn tạm Cho vay Thu hồi tiền cho vay,340.525.063 44.000.000 272.740.000 622.740.000,467.367.876 - 1.043.553.000 592.637.944,,,,
Công ty TNHH Thương mại và Dịch vụ Minh Tuân,Công ty TNHH Thương mại và Dịch vụ Minh Tuân,Công ty TNHH Thương mại và Dịch vụ Minh Tuân,Bên liên quan,Cho vay dài hạn Lãi vay từ các khoản cho vay,54.140.387 2.492.768,-,,,,
Công ty Cổ phần Phú Hoàng Anh,Công ty TNHH Thương mại và Dịch vụ Minh Tuân > Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Bên liên quan,Lãi vay từ các khoản cho vay,28.743.750,28.743.750,,,28743750.0,28743750.0
Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Công ty con,Cho vay Thu hồi tiền cho vay,25.973.317 15.446.000,-,,,,
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tich HĐQT,Lãi vay từ các khoản cho vay Cho vay dài hạn,14.548.178 697.320.000,-,,,,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Bên liên quan,Lãi vay từ các khoản cho vay Cho vay dài hạn,622.820 14.651.980,-,,,,
Trong đó:Doanh thu từ các bên liên quan (Thuyết minh số 22.1),Công ty Cổ phần Xây dựng Huynh Đệ > Trong đó:Doanh thu từ các bên liên quan (Thuyết minh số 22.1),Trong đó:Doanh thu từ các bên liên quan (Thuyết minh số 22.1),Trong đó:Doanh thu từ các bên liên quan (Thuyết minh số 22.1),Trong đó:Doanh thu từ các bên liên quan (Thuyết minh số 22.1),1.839.891.901,742.164.522,,,1839891901.0,742164522.0
