row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,NgànVND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__NgànVND Số đầu năm
Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),,,,
Công ty TNHH An Tiến,Phải trả ngắn hạn khác (TM số 23) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Hợp tác kinh doanh,185.750.000,-,,,185750000.0,
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 23) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,Hợp tác kinh doanh,36.000.000,-,,,36000000.0,
,,,,Lợi nhuận hợp tác kinh doanh,1.488.000,-,,,1488000.0,
,,,,Mượn tiền,1.000.000,-,,,1000000.0,
Bà Đoàn Thị Nguyên Nguyên,Phải trả ngắn hạn khác (TM số 23) > Bà Đoàn Thị Nguyên Nguyên,Bà Đoàn Thị Nguyên Nguyên,Bên liên quan,Mượn tiền,15.000.000,20.000.000,,,15000000.0,20000000.0
Công ty Cổ phần Lê Me,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Mượn tiền,11.685.000,11.685.000,,,11685000.0,11685000.0
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lợi nhuận hợp tác kinh doanh,9.966.667,-,,,9966667.0,
,,,,Mượn tiền,-,136.000.000,,,,136000000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mượn tiền,7.422.950,-,,,7422950.0,
Bà Hồ Thị Kim Chi,Phải trả ngắn hạn khác (TM số 23) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng giám đốc,Lợi nhuận hợp tác kinh doanh,6.535.000,-,,,6535000.0,
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Mượn tiền,-,6.450.000,,,,6450000.0
HAN,Phải trả ngắn hạn khác (TM số 23) > HAN,HAN,Công ty liên kết trước đây,Mượn tiền,-,11.786.058,,,,11786058.0
Các bên liên quan khác,Phải trả ngắn hạn khác (TM số 23) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Các khoản khác,275.400,16.993.070,,,275400.0,16993070.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 23) > TỔNG CỘNG,TỔNG CỘNG,,,275.123.017,202.914.128,,,275123017.0,202914128.0
