row_label_raw,row_label_full,Tên đối tượng,Năm xử lý,31/12/2025VND,01/01/2025VND,numeric__Năm xử lý,numeric__31/12/2025VND,numeric__01/01/2025VND
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,1.143.933.229.981,1.143.933.229.981,,1143933229981.0,1143933229981.0
Công ty Cổ phần Thương mại & Đầu tư Mạnh Hà,Công ty Cổ phần Thương mại & Đầu tư Mạnh Hà,Công ty Cổ phần Thương mại & Đầu tư Mạnh Hà,2021,480.782.169.169,480.782.169.169,2021.0,480782169169.0,480782169169.0
Công ty Cổ phần đầu tư và Thương mại Vneco Hà Nội,Công ty Cổ phần đầu tư và Thương mại Vneco Hà Nội,Công ty Cổ phần đầu tư và Thương mại Vneco Hà Nội,2021,370.150.060.812,370.150.060.812,2021.0,370150060812.0,370150060812.0
Công ty TNHH Gió Hát,Công ty TNHH Gió Hát,Công ty TNHH Gió Hát,2021,199.001.000.000,199.001.000.000,2021.0,199001000000.0,199001000000.0
Công ty Cổ phần Bảo Linh,Công ty Cổ phần Bảo Linh,Công ty Cổ phần Bảo Linh,2021,75.000.000.000,75.000.000.000,2021.0,75000000000.0,75000000000.0
Công ty Cổ phần Đầu tư Phát triển Phú Nguyên,Công ty Cổ phần Đầu tư Phát triển Phú Nguyên,Công ty Cổ phần Đầu tư Phát triển Phú Nguyên,2021,19.000.000.000,19.000.000.000,2021.0,19000000000.0,19000000000.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,81.273.856.974,81.273.856.974,,81273856974.0,81273856974.0
Công ty Cổ phần Robot Tosy,Công ty Cổ phần Robot Tosy,Công ty Cổ phần Robot Tosy,2021,27.823.311.313,27.823.311.313,2021.0,27823311313.0,27823311313.0
Công ty Cổ phần đầu tư và xây dựng Sông Đà,Công ty Cổ phần đầu tư và xây dựng Sông Đà,Công ty Cổ phần đầu tư và xây dựng Sông Đà,2021,20.635.963.722,20.635.963.722,2021.0,20635963722.0,20635963722.0
Công ty TNHH Thương mại Dịch vụ & Sản xuất Phi Kha Miền Bắc,Công ty TNHH Thương mại Dịch vụ & Sản xuất Phi Kha Miền Bắc,Công ty TNHH Thương mại Dịch vụ & Sản xuất Phi Kha Miền Bắc,2021,5.344.267.999,5.344.267.999,2021.0,5344267999.0,5344267999.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,2021,5.522.659.768,5.522.659.768,2021.0,5522659768.0,5522659768.0
Công ty Cổ phần Đầu tư Văn Phú Building,Công ty Cổ phần Đầu tư Văn Phú Building,Công ty Cổ phần Đầu tư Văn Phú Building,2021,5.707.549.314,5.707.549.314,2021.0,5707549314.0,5707549314.0
Công ty TNHH Vật Tư Kim Khí Hưng Yên,Công ty TNHH Vật Tư Kim Khí Hưng Yên,Công ty TNHH Vật Tư Kim Khí Hưng Yên,2021,5.096.125.835,5.096.125.835,2021.0,5096125835.0,5096125835.0
Công ty Cổ phần truyền thông TVSHOPPING,Công ty Cổ phần truyền thông TVSHOPPING,Công ty Cổ phần truyền thông TVSHOPPING,2021,2.337.931.029,2.337.931.029,2021.0,2337931029.0,2337931029.0
Công ty Cổ phần Bán lẻ và Quản lýBất động sản Đại Dương,Công ty Cổ phần Bán lẻ và Quản lýBất động sản Đại Dương,Công ty Cổ phần Bán lẻ và Quản lýBất động sản Đại Dương,2021,3.492.500.351,3.492.500.351,2021.0,3492500351.0,3492500351.0
Nguyễn Thị Tuyết,Nguyễn Thị Tuyết,Nguyễn Thị Tuyết,2021,2.500.000.000,2.500.000.000,2021.0,2500000000.0,2500000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2021,2.813.547.643,2.813.547.643,2021.0,2813547643.0,2813547643.0
