row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Công ty Cổ phần May Tiến Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thanh lý khoản đầu tư,207.540.000.000,-,,207540000000.0,
Công ty Cổ phần May Tiến Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Cung cấp dịch vụ,24.119.277.422,22.690.383.804,,24119277422.0,22690383804.0
Công ty Hùng Anh Năm,Phải thu ngắn hạn của khách hàng > Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Cung cấp dịch vụ,43.055.327.328,9.900.000,,43055327328.0,9900000.0
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Cung cấp dịch vụ,31.437.964.049,-,,31437964049.0,
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Phải thu ngắn hạn của khách hàng > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Cung cấp dịch vụ,2.675.112.034,23.186.387,,2675112034.0,23186387.0
Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Phải thu ngắn hạn của khách hàng > Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,Cung cấp dịch vụ,1.900.000.000,,,1900000000.0,
Công ty Cổ phần Mai Lan,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Bán hàng hóa và dịch vụ,1.077.361.118,841.784.110,,1077361118.0,841784110.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Bán hàng hóa và dịch vụ,373.130.756,76.693.432,,373130756.0,76693432.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Bán hàng hóa và dịch vụ,230.628.379,175.548.183,,230628379.0,175548183.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Bán hàng hóa và dịch vụ,-,192.782.775,,,192782775.0
Bà Nguyễn Thủy Vân,Phải thu ngắn hạn của khách hàng > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Bán hàng hóa và dịch vụ,-,114.501.769,,,114501769.0
TỔNG CÔNG,Phải thu ngắn hạn của khách hàng > TỔNG CÔNG,TỔNG CÔNG,,312.408.801.086,24.124.780.460,,312408801086.0,24124780460.0
