row_label_raw,row_label_full,Bên liên quan,Nội dungnghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,,,
Công ty Cổ phần Toàn Hải Vân,Phải thu khác dài hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Hợp tác kinhdoanh,353.700.000.000,552.500.000.000,,353700000000.0,552500000000.0
Công ty Cổ phần Thương Mại,Phải thu khác dài hạn > Công ty Cổ phần Thương Mại,Công ty Cổ phần Thương Mại,Hợp tác kinhdoanh,180.000.000.000,-,,180000000000.0,
Nguyễn Kim Đà Nẵng,Phải thu khác dài hạn > Nguyễn Kim Đà Nẵng,Nguyễn Kim Đà Nẵng,Hợp tác kinhdoanh,2.819.548.800,-,,2819548800.0,
Công ty Cổ phầnThương Tín Tàu Cuốc,Công ty Cổ phầnThương Tín Tàu Cuốc,Công ty Cổ phầnThương Tín Tàu Cuốc,,,,,,
TỔNG CỘNG,Công ty Cổ phầnThương Tín Tàu Cuốc > TỔNG CỘNG,TỔNG CỘNG,,536.519.548.800,552.500.000.000,,536519548800.0,552500000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty Cổ phần Toàn Hải Vân,Phải trả người bán ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phốthương mại,34.338.118.200,4.372.505.921,,34338118200.0,4372505921.0
Công ty Cổ phần Đầu tưThành Thành Công,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tưThành Thành Công,Công ty Cổ phần Đầu tưThành Thành Công,Mua dịch vụ,26.661.090.430,25.363.570.470,,26661090430.0,25363570470.0
Công ty Cổ phần Đầu tưBất động sản TTC LandHưng Điền,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tưBất động sản TTC LandHưng Điền,Công ty Cổ phần Đầu tưBất động sản TTC LandHưng Điền,Mua hàng hóavà dịch vụ,4.172.460.621,4.172.460.621,,4172460621.0,4172460621.0
Công ty Cổ phần Thành Thành Nam,Phải trả người bán ngắn hạn > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua hàng hóavà dịch vụ,3.864.309.510,188.361.401,,3864309510.0,188361401.0
Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Phải trả người bán ngắn hạn > Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lýBất động sản Sài Gòn Thương Tín,Mua hàng hóavà dịch vụ,3.036.742.542,5.285.785.266,,3036742542.0,5285785266.0
Công ty Cổ phầnThương Tín Tàu Cuốc,Phải trả người bán ngắn hạn > Công ty Cổ phầnThương Tín Tàu Cuốc,Công ty Cổ phầnThương Tín Tàu Cuốc,Mua hàng hóavà dịch vụ,2.844.598.695,468.768.202,,2844598695.0,468768202.0
Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,Phải trả người bán ngắn hạn > Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanhDịch vụ Địa ốc Sài Gòn Thương Tín,Mua hàng hóavà dịch vụ,-,214.453.167,,,214453167.0
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,74.917.319.998,40.065.905.048,,74917319998.0,40065905048.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Công ty TNHH MTV Kinhdoanh Dịch vụ Địa ốc SàiGòn Thương Tín,Người mua trả tiền trước ngắn hạn > Công ty TNHH MTV Kinhdoanh Dịch vụ Địa ốc SàiGòn Thương Tín,Công ty TNHH MTV Kinhdoanh Dịch vụ Địa ốc SàiGòn Thương Tín,Bán hàng hóavà dịch vụ,88.633.449.797,88.633.449.797,,88633449797.0,88633449797.0
Công ty Cổ phần Toàn Hải Vân,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Bán hàng hóavà dịch vụ,35.000.000.000,,,35000000000.0,
Công ty Cổ phần May Tiến Phát,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Bán hàng hóavà dịch vụ,20.000.000.000,,,20000000000.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,143.633.449.797,88.633.449.797,,143633449797.0,88633449797.0
