row_label_raw,row_label_full,Họ tên > Nguyễn Duy Hung > Nguyễn Hồng Nam,Chức danh > Chủ tịch HĐQT kiểm Tổng Giám đốcTổng Giám đốc (từ ngày 01 tháng 1 năm 2020đến ngày 01 tháng 8 năm 2020) > Phỏ Tổng Giám đốcTổng Giám Đốc (từ ngày 01 tháng 8 năm 2020),Tiền lương > 6.500.000.000 > 4.279.545.455,Đơn vị tính: VNDThù lao > -,numeric__Chức danh > Chủ tịch HĐQT kiểm Tổng Giám đốcTổng Giám đốc (từ ngày 01 tháng 1 năm 2020đến ngày 01 tháng 8 năm 2020) > Phỏ Tổng Giám đốcTổng Giám Đốc (từ ngày 01 tháng 8 năm 2020),numeric__Tiền lương > 6.500.000.000 > 4.279.545.455,numeric__Đơn vị tính: VNDThù lao > -
Ngô Văn Điểm,Ngô Văn Điểm,Ngô Văn Điểm,Thành viên HĐQT,-,-,,,
Phạm Việt Muôn,Phạm Việt Muôn,Phạm Việt Muôn,Thành viên HĐQT,-,-,,,
Nguyễn Duy Khánh,Phạm Việt Muôn > Nguyễn Duy Khánh,Nguyễn Duy Khánh,Thành viên HĐQT,-,300.000.000,,,300000000.0
Hironori Oka,Hironori Oka,Hironori Oka,Thành viên HĐQT,-,-,,,
