row_label_raw,row_label_full,col_0,Số cuối năm,Tỷ lệ,Số đầu năm,Tỷ lệ_1,numeric__Số cuối năm,numeric__Tỷ lệ,numeric__Số đầu năm,numeric__Tỷ lệ_1
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,103.375.000.000,"13,25%",400.000.000.000,"80,00%",103375000000.0,0.1325,400000000000.0,0.8
Ông Phan Ngọc Án,Ông Phan Ngọc Án,Ông Phan Ngọc Án,49.550.000.000,"6,35%",-,-,49550000000.0,0.0635,,
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,-,-,50.000.000.000,"10,00%",,,50000000000.0,0.1
Bà Vũ Thị Thuy Dung,Bà Vũ Thị Thuy Dung,Bà Vũ Thị Thuy Dung,-,-,50.000.000.000,"10,00%",,,50000000000.0,0.1
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,627.075.000.000,"80,39%",-,0%,627075000000.0,0.8039000000000001,,0.0
Cộng,Cộng,Cộng,780.000.000.000,100%,500.000.000.000,100%,780000000000.0,1.0,500000000000.0,1.0
