row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Bên liên quan khác,Phải trả người bán ngắn hạn > Bên liên quan khác,Bên liên quan khác,Nhận chuyển nhượng đấtKhác,-,126.298.368.20035.500.000,,,1.26298368200355e+19
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,-,126.333.868.200,,,126333868200.0
Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,,,
Đất Xanh Miền Nam,Khách hàng ứng trước ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Tạm ứng,-,9.809.021.996,,,9809021996.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,
Lương Trí Thìn,Vay ngắn hạn > Lương Trí Thìn,Lương Trí Thìn,Vay,150.000.000.000,-,,150000000000.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Ký quỹHĐHTKDKhác,69.700.000.0007.366.596.913417.147.545,11.580.000.0007.366.596.913417.147.545,,6.970000000073666e+29,1.158000000073666e+29
Cá nhân F,Phải trả ngắn hạn khác > Cá nhân F,Cá nhân F,Thu hộ,613.003.840,27.906.650.000,,613003840.0,27906650000.0
Bên liên quan khác,Phải trả ngắn hạn khác > Bên liên quan khác,Bên liên quan khác,Khác,2.365.666.079,520.645.880,,2365666079.0,520645880.0
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,80.462.414.377,47.791.040.338,,80462414377.0,47791040338.0
