row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Đất xanh Miền Nam,Trả trước cho người bán ngắn hạn > Đất xanh Miền Nam,Đất xanh Miền Nam,Phí dịch vụ,18.823.562.352,17.453.035.795,,18823562352.0,17453035795.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Cá nhân D,Phải thu khác > Cá nhân D,Cá nhân D,Ứng tiền nhận chuyển nhượng đất,1.799.863.256.000,1.678.409.000.000,,1799863256000.0,1678409000000.0
Cá nhân F,Phải thu khác > Cá nhân F,Cá nhân F,Ký quỹ thực hiện dự án Chi hộ,642.708.100.000-,693.462.750.000248.996.160,,,6.93462750000249e+20
Cá nhân E,Phải thu khác > Cá nhân E,Cá nhân E,Ứng tiền nhận chuyển nhượng đất,227.300.167.185,-,,227300167185.0,
Cá nhân A,Phải thu khác > Cá nhân A,Cá nhân A,Ứng tiền nhận chuyển nhượng đất Tạm ứng,162.398.390.0001.793.413.900,158.780.009.5721.813.413.900,,1.6239839000017935e+21,1.5878000957218134e+21
Đất xanh Miền Nam,Phải thu khác > Đất xanh Miền Nam,Đất xanh Miền Nam,HĐHTKD Khác,63.465.472.100406.103.300,45.379.472.100300.000.000,,6.34654721004061e+19,4.53794721003e+19
Cá nhân C,Phải thu khác > Cá nhân C,Cá nhân C,Ứng tiền nhận chuyển nhượng đất,-,609.111.910.000,,,609111910000.0
Cá nhân G,Phải thu khác > Cá nhân G,Cá nhân G,Ứng tiền nhận chuyển nhượng đất,-,227.300.167.185,,,227300167185.0
Cá nhân B,Phải thu khác > Cá nhân B,Cá nhân B,HĐHTKD,-,17.000.000.000,,,17000000000.0
TỔNG CỘNG,Phải thu khác > TỔNG CỘNG,TỔNG CỘNG,,2.897.934.902.485,3.431.805.718.917,,2897934902485.0,3431805718917.0
