row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,NgànVND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__NgànVND Số đầu năm
Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),,,,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,HĐHTKD,100.000.000,-,,,100000000.0,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Mượn tiền,70.000.000,-,,,70000000.0,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Chi phí lãi HĐHTKD,-,9.966.667,,,,9966667.0
Công ty Cổ phần Lê Me,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Mượn tiền,37.481.217,11.685.000,,,37481217.0,11685000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa Hoàng Anh Gia Lai,Công ty liên quan,Mượn tiền,24.197.190,-,,,24197190.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mượn tiền,594.335,7.422.950,,,594335.0,7422950.0
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 23) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,HĐHTKD,4.112.630,36.000.000,,,4112630.0,36000000.0
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 23) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,Mượn tiền,1.000.000,1.000.000,,,1000000.0,1000000.0
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 23) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT,Chi phí lãi HĐHTKD,-,1.488.000,,,,1488000.0
Công ty Cổ phần Hoàng Anh Mê Kông,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty liên quan,Mượn tiền,272.700,-,,,272700.0,
Ông Trần Quang Dũng,Phải trả ngắn hạn khác (TM số 23) > Ông Trần Quang Dũng,Ông Trần Quang Dũng,Bên liên quan,Mượn tiền,150.000,-,,,150000.0,
Công ty TNHH An Tiến,Phải trả ngắn hạn khác (TM số 23) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,HĐHTKD,-,185.750.000,,,,185750000.0
Bà Đoàn Thị Nguyên,Phải trả ngắn hạn khác (TM số 23) > Bà Đoàn Thị Nguyên,Bà Đoàn Thị Nguyên,Bên liên quan,Mượn tiền,-,15.000.000,,,,15000000.0
Bà Hồ Thị Kim Chi,Phải trả ngắn hạn khác (TM số 23) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng giám đốc,Chi phí lãi HĐHTKD,-,6.535.000,,,,6535000.0
Các bên liên quan khác,Phải trả ngắn hạn khác (TM số 23) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Khác,15.612,275.400,,,15612.0,275400.0
,,,,,237.823.684,275.123.017,,,237823684.0,275123017.0
Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),Phải trả dài hạn khác (TM số 23),,,,
Ông Nguyễn Ngọc Mai,Phải trả dài hạn khác (TM số 23) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Bên liên quan,Mượn tiền,236.357.918,-,,,236357918.0,
Ông Đoàn Nguyên Đức,Phải trả dài hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,HĐHTKD,-,180.000.000,,,,180000000.0
Bà Hồ Thị Kim Chi,Phải trả dài hạn khác (TM số 23) > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,HĐHTKD,-,105.000.000,,,,105000000.0
,,,,,236.357.918,285.000.000,,,236357918.0,285000000.0
