row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),,,,
Công ty Cổ phầnHưng Thắng Lợi,Công ty Cổ phầnHưng Thắng Lợi,Công ty Cổ phầnHưng Thắng Lợi,Công tyliên quan,Cho mượn tạmLãi cho vay,(500.000.000)(10.120.174),-,,,,
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên kết,Cho mượn tạmLãi cho vay,(250.098.890)(40.329.333),(404.622.014)-,,,,
Ông Đoàn Nguyên Đức,Công ty Cổ phầnChăn nuôi Gia Lai > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch,Nhận góp vốnBCC,(240.000.000),-,,,-240000000.0,
Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên,Công tyliên quan,Nhận góp vốnBCC,(150.000.000)(4.100.000),-,,,,
Ông Dương ThanhBích,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Ông Dương ThanhBích,Ông Dương ThanhBích,Bên liên quan,Nhận góp vốnBCC,(150.000.000),-,,,-150000000.0,
Ông Nguyễn Ngọc Mai,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Bên liên quan,Nhận góp vốnBCC,(140.000.000),-,,,-140000000.0,
Ông Nguyễn Thương Trung,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Ông Nguyễn Thương Trung,Ông Nguyễn Thương Trung,Bên liên quan,Nhận góp vốnBCC,(137.000.000),-,,,-137000000.0,
Ông Thủy Ngọc Dũng,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Ông Thủy Ngọc Dũng,Ông Thủy Ngọc Dũng,Bên liên quan,Nhận góp vốnBCC,(135.000.000),-,,,-135000000.0,
Bà Nguyễn Thị Hồng Luyến,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Bà Nguyễn Thị Hồng Luyến,Bà Nguyễn Thị Hồng Luyến,Bên liên quan,Nhận góp vốnBCC,(115.000.000),-,,,-115000000.0,
Ông Trần Quang Dũng,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Ông Trần Quang Dũng,Ông Trần Quang Dũng,Bên liên quan,Nhận góp vốnBCC,(110.000.000),-,,,-110000000.0,
Bà Hồ Thị Kim Chi,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Công tyliên quan,Nhận góp vốnBCC,(55.500.000),-,,,-55500000.0,
Bà Lê Thủy Dương,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Bà Lê Thủy Dương,Bà Lê Thủy Dương,Bên liên quan,Nhận góp vốnBCC,(50.000.000),-,,,-50000000.0,
Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Công ty Cổ phần Tư vấn Đầu tư và Xây dựng Á Đông,Công tyliên quan,Cho mượn tạm,(10.666.989),-,,,-10666989.0,
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công tyliên quan,Cho mượn tạm,(6.450.000),(6.450.000),,,-6450000.0,-6450000.0
Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công tyliên quan,Cho mượn tạm,(5.711.421),-,,,-5711421.0,
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Dịchvụ Nông Nghiệp TâyNguyên > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công tyliên quan,Cho mượn tạm,(3.000.000),-,,,-3000000.0,
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công tyliên quan,Cho mượn tạmCổ tức phải trả,(2.654.276)(2.034.000),(4.688.276)-,,,,
Ông Dương Hoàng Bắc,Công ty TNHH An Tiến > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Cho mượn tạm,(1.958.300),-,,,-1958300.0,
