row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất%/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất%/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,,
Nhóm An Phú (*),Phải thu về cho vay ngắn hạn (TM số 8) > Nhóm An Phú (*),Nhóm An Phú (*),Các công tyliên quan,(*),1.090.388.994,1.760.073.732,,,1090388994.0,1760073732.0
Ông Nguyễn Quyền,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Quyền,Ông Nguyễn Quyền,Bên liên quan,,935.057.000,-,,,935057000.0,
Ông Từ Minh Đăng,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Từ Minh Đăng,Ông Từ Minh Đăng,Bên liên quan,,676.200.000,-,,,676200000.0,
Ông Hoàng Trọng Hưng,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Hoàng Trọng Hưng,Ông Hoàng Trọng Hưng,Bên liên quan,,516.700.000,-,,,516700000.0,
Công ty TNHH MTV Phát triểnNông nghiệp Đại Thắng,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH MTV Phát triểnNông nghiệp Đại Thắng,Công ty TNHH MTV Phát triểnNông nghiệp Đại Thắng,Công tyliên quan,"10,81% -15%",445.627.940,-,,,445627940.0,
Công ty TNHH Phát triển Nôngnghiệp MTV Thăng Long,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Phát triển Nôngnghiệp MTV Thăng Long,Công ty TNHH Phát triển Nôngnghiệp MTV Thăng Long,Công tyliên quan,,49.900.700,61.397.808,,,49900700.0,61397808.0
Ông Đoàn Nguyên Đức,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,10%,33.990.410,-,,0.1,33990410.0,
Công ty Cổ Phần Long Thịnh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ Phần Long Thịnh,Công ty Cổ Phần Long Thịnh,Công tyliên quan,12%,4.170.750,-,,0.12,4170750.0,
Công ty Cổ phần Hoàng AnhBan Mê,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Hoàng AnhBan Mê,Công ty Cổ phần Hoàng AnhBan Mê,Công tyliên quan,12%,2.925.526,-,,0.12,2925526.0,
Công ty Cổ phần Dịch vụ Quản lýBất động sản Hoàng Anh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Dịch vụ Quản lýBất động sản Hoàng Anh,Công ty Cổ phần Dịch vụ Quản lýBất động sản Hoàng Anh,Công tyliên quan,,-,500.000,,,,500000.0
Công ty TNHH Thương mại vàDịch vụ Trúc Thịnh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Thương mại vàDịch vụ Trúc Thịnh,Công ty TNHH Thương mại vàDịch vụ Trúc Thịnh,Công tyliên quan,,-,126.017.532,,,,126017532.0
Công ty TNHH MTVVạn Phúc Hưng,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH MTVVạn Phúc Hưng,Công ty TNHH MTVVạn Phúc Hưng,Công tyliên quan,,-,14.130.278,,,,14130278.0
Các bên liên quan khác,Phải thu về cho vay ngắn hạn (TM số 8) > Các bên liên quan khác,Các bên liên quan khác,Công tyliên quan,,-,14.500.000,,,,14500000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,3.754.961.320,1.976.619.350,,,3754961320.0,1976619350.0
