row_label_raw,row_label_full,Biên liên quan,Tính chất giao dịch,31/12/2025 VND,01/01/2025 VND,numeric__Tính chất giao dịch,numeric__31/12/2025 VND,numeric__01/01/2025 VND
Công ty Hải Phát-Bình Thuận,Công ty ANTV > Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Phải trả tiền quản lý tập trung,241.122.312.922,303.509.377.388,,241122312922.0,303509377388.0
Công ty Ruby,Công ty ANTV > Công ty Ruby,Công ty Ruby,Phải trả tiền quản lý tập trung,202.100.932.284,200.543.088.353,,202100932284.0,200543088353.0
Công ty Heritage,Công ty ANTV > Công ty Heritage,Công ty Heritage,Phải trả tiền quản lý tập trung,52.489.771.000,52.949.371.000,,52489771000.0,52949371000.0
Công ty Sapphire,Công ty ANTV > Công ty Sapphire,Công ty Sapphire,Phải trả tiền quản lý tập trung,125.063.251.119,168.511.046.379,,125063251119.0,168511046379.0
Công ty TOPAZ PM,Công ty ANTV > Công ty TOPAZ PM,Công ty TOPAZ PM,Phải trả tiền quản lý tập trung,58.847.929,1.155.121.377,,58847929.0,1155121377.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải trả tiền quản lý tập trung,,-,,,
Công ty PSP,Công ty DIAMOND IC > Công ty PSP,Công ty PSP,Đặt cọc tiền quản lý vận hành,30.000.000,30.000.000,,30000000.0,30000000.0
Công ty Tập đoàn Hải Phát Land,Công ty DIAMOND IC > Công ty Tập đoàn Hải Phát Land,Công ty Tập đoàn Hải Phát Land,Nhận bảo đảm quyền phân phối sản phẩm,121.563.000.000,-,,121563000000.0,
b. Dài hạn,Công ty DIAMOND IC > b. Dài hạn,b. Dài hạn,,-,193.950.060.791,,,193950060791.0
Công ty Hải Phát Retail,Công ty DIAMOND IC > Công ty Hải Phát Retail,Công ty Hải Phát Retail,Phải trả theo thỏa thuận HTĐT,-,193.950.060.791,,,193950060791.0
7. Vay ngắn hạn,Công ty DIAMOND IC > 7. Vay ngắn hạn,7. Vay ngắn hạn,,5.239.000.000,7.739.000.000,,5239000000.0,7739000000.0
Ông Lê Thanh Hải,Công ty DIAMOND IC > Ông Lê Thanh Hải,Ông Lê Thanh Hải,Vay,5.239.000.000,5.239.000.000,,5239000000.0,5239000000.0
Bà Nguyễn Thị Phương Nga,Công ty DIAMOND IC > Bà Nguyễn Thị Phương Nga,Bà Nguyễn Thị Phương Nga,Vay,-,2.500.000.000,,,2500000000.0
