row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Cung cấp dịch vụ BĐS,271.099.961,3.728.032.257,,271099961.0,3728032257.0
Lương Trí Tú,Phải thu ngắn hạn của khách hàng > Lương Trí Tú,Lương Trí Tú,Doanh thu bán căn hộ,-,702.768.948,,,702768948.0
Lương Trí Thảo,Phải thu ngắn hạn của khách hàng > Lương Trí Thảo,Lương Trí Thảo,Doanh thu bán căn hộ,-,464.463.232,,,464463232.0
,,,,271.099.961,4.895.264.437,,271099961.0,4895264437.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Bất động sản Tulip,Trả trước cho người bán ngắn hạn > Bất động sản Tulip,Bất động sản Tulip,Trả trước,313.000.000,313.000.000,,313000000.0,313000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Đất Xanh Nam Trung Bộ,Phải thu ngắn hạn khác > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Vốn góp theo HĐHTKD,99.913.184.000,100.913.184.000,,99913184000.0,100913184000.0
Nguyễn Trường Sơn,Phải thu ngắn hạn khác > Nguyễn Trường Sơn,Nguyễn Trường Sơn,Tạm ứng,7.039.000.000,7.039.000.000,,7039000000.0,7039000000.0
Dầu khí Nha Trang,Phải thu ngắn hạn khác > Dầu khí Nha Trang,Dầu khí Nha Trang,Lãi cho vay,36.402.890,36.402.890,,36402890.0,36402890.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Cổ tức,-,114.236.472.439,,,114236472439.0
Hà An,Phải thu ngắn hạn khác > Hà An,Hà An,Khác,-,2.520.000,,,2520000.0
Lương Trí Tú,Phải thu ngắn hạn khác > Lương Trí Tú,Lương Trí Tú,Tạm ứng,-,1.793.413.900,,,1793413900.0
Thăng Long Petrol,Phải thu ngắn hạn khác > Thăng Long Petrol,Thăng Long Petrol,Thu nhập lãi,-,791.409.382,,,791409382.0
Khác,Phải thu ngắn hạn khác > Khác,Khác,Khác,33.123.726,298.489.299,,33123726.0,298489299.0
,,,,107.021.710.616,225.110.891.910,,107021710616.0,225110891910.0
