row_label_raw,row_label_full,Bên liên quan,Nội dungnghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu khách hàng ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Thanh lý khoảnđầu tư,207.540.000.000,-,,207540000000.0,
Công ty Cổ phầnMay Tiến Phát,Phải thu khách hàng ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Cung cấp dịch vụ,33.719.844.348,33.489.323.439,,33719844348.0,33489323439.0
Công ty Cổ phầnToàn Hải Vân,Phải thu khách hàng ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Cung cấp dịch vụ,3.508.021.707,2.571.565.072,,3508021707.0,2571565072.0
Công ty TNHH DuLịch Thành ThànhCông Lâm Đồng,Phải thu khách hàng ngắn hạn > Công ty TNHH DuLịch Thành ThànhCông Lâm Đồng,Công ty TNHH DuLịch Thành ThànhCông Lâm Đồng,Cung cấp dịch vụ,1.900.000.000,-,,1900000000.0,
Bà Nguyễn Thủy Vân,Phải thu khách hàng ngắn hạn > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Cung cấp dịch vụ,-,114.501.769,,,114501769.0
Công ty Cổ phần Đầu tưThành Thành Công,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Đầu tưThành Thành Công,Công ty Cổ phần Đầu tưThành Thành Công,Cung cấp dịch vụ,-,11.070.000,,,11070000.0
TỔNG CỘNG,Phải thu khách hàng ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,246.667.866.055,36.186.460.280,,246667866055.0,36186460280.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty Cổ phầnToàn Hải Vân,Trả trước cho người bán ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Mua nhà phốthương mại,331.849.590.690,20.799.000.000,,331849590690.0,20799000000.0
Công ty Cổ phầnMay Tiến Phát,Trả trước cho người bán ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Mua hàng vàdịch vụ,2.974.941.281,2.974.941.281,,2974941281.0,2974941281.0
Bà Huỳnh Bích Ngọc,Trả trước cho người bán ngắn hạn > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Mua hàng vàdịch vụ,1.911.437.500,1.911.437.500,,1911437500.0,1911437500.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,336.735.969.471,25.685.378.781,,336735969471.0,25685378781.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,,,
Công ty Cổ phầnToàn Hải Vân,Trả trước cho người bán dài hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Nhận chuyểnnhượng quyền sửdụng đất,145.481.128.568,-,,145481128568.0,
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu khác ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Lãi cho vay,423.380.961.423,431.008.354.138,,423380961423.0,431008354138.0
Công ty Cổ phầnToàn Hải Vân,Phải thu khác ngắn hạn > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,"Lãi cho vay, lợinhuyện HĐHTĐT",165.465.270.283,53.879.261.855,,165465270283.0,53879261855.0
Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Phải thu khác ngắn hạn > Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Lãi cho vay,2.132.281.617,1.825.177.975,,2132281617.0,1825177975.0
Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Phải thu khác ngắn hạn > Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Công ty Cổ phầnĐầu tư Thành Thành CôngBà Huỳnh Bích Ngọc,Bán hàng hóa vàdịch vụ,1.911.437.500,1.911.437.500,,1911437500.0,1911437500.0
Công ty Cổ phần ThànhThành Nam,Phải thu khác ngắn hạn > Công ty Cổ phần ThànhThành Nam,Công ty Cổ phần ThànhThành Nam,Bán hàng hóa vàdịch vụ,793.510.718,-,,793510718.0,
Công ty Cổ phần Đầu tưSVG,Phải thu khác ngắn hạn > Công ty Cổ phần Đầu tưSVG,Công ty Cổ phần Đầu tưSVG,Khác,20.000.000,20.000.000,,20000000.0,20000000.0
Bà Nguyễn Thủy Vân,Phải thu khác ngắn hạn > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Ủy thác đầu tư,-,38.394.100.405,,,38394100405.0
TỔNG CỘNG,Phải thu khác ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,593.703.461.541,527.038.331.873,,593703461541.0,527038331873.0
