row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Thu hồi gốc cho vayGốc cho vayThanh lý khoản đầu tưLãi cho vayMua dịch vụHoàn trả gốc đi vayCung cấp dịch vụLãi đi vayChia cổ tứcLợi nhuận hợp tácGốc đi vay,545.526.000.000417.225.000.000207.540.000.00091.190.120.1152.245.297.9262.180.000.0001.558.993.109147.642.742148.081.800-,677.868.000.000425.278.000.000-46.688.889.8963.205.702.456-6.166.215.888-236.923.19891.360.548.0002.180.000.000,,,
Công ty Cổ phầnĐầu tư ThànhThành Công,Công ty Cổ phầnMay Tiến Phát > Công ty Cổ phầnĐầu tư ThànhThành Công,Công ty Cổ phầnĐầu tư ThànhThành Công,Gốc đi vayHoàn trả gốc đi vayChi phí lãi vayMua dịch vụLãi cho vayCung cấp dịch vụMua hàng hóa,343.200.000.000129.200.000.00016.330.416.43916.105.084.000858.000.00169.278.000-,106.700.000.00048.000.000.0001.391.334.24817.343.483.940858.000.001120.745.88916.001.546.402,,,1.0670000000048e+72
Công ty Cổ phầnĐầu tư Xây dựngLong An - IDICO,Công ty Cổ phầnĐầu tư Xây dựngLong An - IDICO,Công ty Cổ phầnĐầu tư Xây dựngLong An - IDICO,Thoái vốnThu hồi góp vốn HTKD(Lãi phát vi phạm hợp đồngCổ tức được chia,48.016.800.00044.400.000.00021.137.765.084-,-3.693.600.000-,,,
Công ty TNHH DuLịch TTC,Công ty Cổ phầnĐầu tư Xây dựngLong An - IDICO > Công ty TNHH DuLịch TTC,Công ty TNHH DuLịch TTC,Mua dịch vụ,31.350.000.000,-,,31350000000.0,
Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Mua nhà phố thương mạiĐặt cọc mua nhà phốthương mạiThu hồi góp vốn HTKDTạm ứng nhận chuyểnnhượng quyền sử dụng đấtNhận tạm ứngThanh lý khoản đầu tưMua khoản đầu tưLợi nhuận HTKDThu hồi gốc cho vayGốc cho vayCung cấp dịch vụLãi cho vayGóp vốn HTKD,753.101.113.428311.050.590.690277.261.538.460145.481.128.568145.096.748.450144.900.000.000144.650.000.000121.283.330.20374.738.634.24651.000.000.00016.206.647.0001.346.617.223-,79.863.511.2911.000.000.00024.500.000.000-132.253.133.84862.561.365.75432.000.000.000255.054.3357.792.770.479390.000.000.000,,,
Bà Huỳnh Bích Ngọc,Công ty Cổ phầnToàn Hải Vân > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Lãi đi vayGốc đi vayTrả trước,2.360.500.788-,623.281.43916.666.500.0001.911.437.500,,,6.23281439166665e+29
Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Bà Phạm Thị Khuê,Gốc đi vayHoàn trả gốc đi vayLãi đi vay,1.470.000.0001.470.000.000111.501.366-,-,,,
Công ty Kim Thành,Bà Phạm Thị Khuê > Công ty Kim Thành,Công ty Kim Thành,Hoàn trả gốc đi vayLãi đi vay,-,7.300.000.00081.000.000,,,7.30000000081e+17
