row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Phải thu về cho vay dài hạn (Thuyết minh số 09),Phải thu về cho vay dài hạn (Thuyết minh số 09),Phải thu về cho vay dài hạn (Thuyết minh số 09),,-,430.000.000.000,,,430000000000.0
Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Phải thu về cho vay dài hạn,-,430.000.000.000,,,430000000000.0
Phải thu ngắn hạn khác (Thuyết minh số 10),Phải thu ngắn hạn khác (Thuyết minh số 10),Phải thu ngắn hạn khác (Thuyết minh số 10),,1.151.456.607.508,474.233.911.033,,1151456607508.0,474233911033.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phải thu từ đặt cọc chuyển nhượng cổ phần,450.000.000.000,450.000.000.000,,450000000000.0,450000000000.0
Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Lãi dự thu từ cổ phần ưu đãi cổ tức,407.612.931.507,-,,407612931507.0,
Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Công ty Cổ phần Đầu tư KS Finance,Phải thu tiên khách hàng đặt cọc mua căn hộ và phải thu theo biên bản nhận nợ,112.701.366.836,-,,112701366836.0,
Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Lãi dự thu từ cổ phần ưu đãi cổ tức,63.150.684.560,-,,63150684560.0,
Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Lãi dự thu từ cổ phần ưu đãi cổ tức,54.825.479.450,-,,54825479450.0,
Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,"Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh, lãi cho vay",21.261.860.268,-,,21261860268.0,
Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Lãi dự thu từ cho vay,15.872.645.501,-,,15872645501.0,
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Lãi dự thu từ cho vay và phải thu theo biên bản nhận nợ thay chủ sở hữu các căn hộ,13.304.032.550,-,,13304032550.0,
Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Lãi dự thu từ cho vay,7.956.164.385,-,,7956164385.0,
Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Lãi dự thu từ cho vay,3.041.261.507,-,,3041261507.0,
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Lãi dự thu từ cho vay,580.000.000,-,,580000000.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Thu hộ dịch vụ thuê nhà,525.361.946,-,,525361946.0,
Công ty cổ phần Marina 2,Công ty cổ phần Marina 2,Công ty cổ phần Marina 2,Lãi dự thu từ cho vay,518.082.288,-,,518082288.0,
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Phải thu tiên điện nước,106.736.710,-,,106736710.0,
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ chỉ hộ,Công ty con từ ngày 29/4/2022,203.431.580,,,203431580.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,-,24.030.479.453,,,24030479453.0
Phải thu dài hạn khác (Thuyết minh số 10),Phải thu dài hạn khác (Thuyết minh số 10),Phải thu dài hạn khác (Thuyết minh số 10),,400.000.000.000,-,,400000000000.0,
Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,Phải thu góp vốn Hợp đồng hợp tác kinh doanh,400.000.000.000,-,,400000000000.0,
