row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Thủy điệnTrường Phú,Thủy điệnTrường Phú,Thủy điệnTrường Phú,Thu hồi khoản cho vayLãi cho vayBán hàng và cung cấp dịch vụ,180.900.000.0004.826.649.31430.657.600,-16.164.530.139720.991.444,,1.8090000000048266e+29,-1.616453013972099e+19
DeutscheInvestitions,DeutscheInvestitions,DeutscheInvestitions,Cổ tức cho cổ phần ưu đãiMua hàng hóa và dịch vụNhận chi phí hỗ trợMua dịch vụ,40.878.066.00012.887.915.901--,40.076.208.000860.314.299453.640.775860.314.299,,,4.0076208000860314e+37
Năng lượng TTC,Năng lượng TTC,Năng lượng TTC,Cung cấp dịch vụ,32.977.867.065,2.107.581.600,,32977867065.0,2107581600.0
Sơn Tín,Sơn Tín,Sơn Tín,Thu hồi khoản cho vayLãi cho vay,32.000.000.0002.679.479.447,10.000.000.0005.547.019.175,,3.200000000026795e+20,1.0000000000554702e+20
Đầu tư ThànhThành Công,Đầu tư ThànhThành Công,Đầu tư ThànhThành Công,Mua hàng hóa và dịch vụ,23.504.540.000,23.765.073.358,,23504540000.0,23765073358.0
Lavi,Lavi,Lavi,Cung cấp dịch vụThu hồi khoản cho vayLãi cho vay,18.111.997.8423.000.000.000163.397.259,11.887.306.513-13.808.219,,1.81119978423e+29,
Thành Thành Nam,Thành Thành Nam,Thành Thành Nam,Mua hàng hóa và dịch vụ,6.412.335.828,5.980.362.630,,6412335828.0,5980362630.0
Đặng Huỳnh,Đặng Huỳnh,Đặng Huỳnh,Cung cấp dịch vụMua hàng hóa và dịch vụ,6.311.962.890325.742.413,5.714.148.767424.080.109,,6.311962890325743e+18,5.71414876742408e+18
Năng lượng sạchNinh Thuận,Năng lượng sạchNinh Thuận,Năng lượng sạchNinh Thuận,Thu hồi khoản cho vayLãi cho vay,4.000.000.00061.150.686,-360.986.304,,4.0000000006115066e+17,-360986304.0
Lữ hành Quốc Tế TTC,Lữ hành Quốc Tế TTC,Lữ hành Quốc Tế TTC,Mua hàng hóa và dịch vụ,3.906.714.644,1.812.312.691,,3906714644.0,1812312691.0
Chè Thành Ngọc,Chè Thành Ngọc,Chè Thành Ngọc,Mua hàng hóa và dịch vụ,1.682.964.951,-,,1682964951.0,
Dịch vụ Y tế DHA,Dịch vụ Y tế DHA,Dịch vụ Y tế DHA,Trả trước phí dịch vụ,856.138.519,797.176.482,,856138519.0,797176482.0
Đại Tín,Đại Tín,Đại Tín,Mua hàng hóa và dịch vụ,555.555.556,11.960.721.073,,555555556.0,11960721073.0
Du Lịch Thành ThànhCông Lâm Đồng,Du Lịch Thành ThànhCông Lâm Đồng,Du Lịch Thành ThànhCông Lâm Đồng,Mua hàng hóa và dịch vụ,160.345.532,253.664.058,,160345532.0,253664058.0
Du lịch Thanh Bình,Du lịch Thanh Bình,Du lịch Thanh Bình,Mua hàng hóa và dịch vụ,90.615.146,176.693.551,,90615146.0,176693551.0
Khu Công NghiệpThành Thành Công,Khu Công NghiệpThành Thành Công,Khu Công NghiệpThành Thành Công,Bán hàng hóa vàcung cấp dịch vụ,-,6.409.196.254,,,6409196254.0
Xuất Nhập khấu Tân Định,Xuất Nhập khấu Tân Định,Xuất Nhập khấu Tân Định,Mua hàng hóa và dịch vụ,-,1.647.983.181,,,1647983181.0
