row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Xuất Nhập khẩu Tân Định,Trả trước cho người bán ngắn hạn > Xuất Nhập khẩu Tân Định,Xuất Nhập khẩu Tân Định,"Mua hàng hóa, dịch vụ",-,199.550.000,,,199550000.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Sơn Tín,Phải thu về cho vay ngắn hạn > Sơn Tín,Sơn Tín,Cho vay,22.420.000.000,54.420.000.000,,22420000000.0,54420000000.0
Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn > Thủy điện Trường Phú,Thủy điện Trường Phú,Cho vay,-,180.900.000.000,,,180900000000.0
Lavi,Phải thu về cho vay ngắn hạn > Lavi,Lavi,Cho vay,-,3.000.000.000,,,3000000000.0
Năng Lượng Sạch Ninh Thuận,Phải thu về cho vay ngắn hạn > Năng Lượng Sạch Ninh Thuận,Năng Lượng Sạch Ninh Thuận,Cho vay,-,4.000.000.000,,,4000000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,22.420.000.000,242.320.000.000,,22420000000.0,242320000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Sơn Tín,Phải thu ngắn hạn khác > Sơn Tín,Sơn Tín,Lãi cho vay,14.439.427.395,14.759.947.948,,14439427395.0,14759947948.0
Thủy điện Trường Phú,Phải thu ngắn hạn khác > Thủy điện Trường Phú,Thủy điện Trường Phú,Lãi cho vay,-,21.785.884.931,,,21785884931.0
Năng Lượng Sạch Ninh Thuận,Phải thu ngắn hạn khác > Năng Lượng Sạch Ninh Thuận,Năng Lượng Sạch Ninh Thuận,Lãi cho vay,-,1.945.890.418,,,1945890418.0
TỔNG CỘNG,Phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,14.439.427.395,38.491.723.297,,14439427395.0,38491723297.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Thành Thành Nam,Phải thu dài hạn khác > Thành Thành Nam,Thành Thành Nam,Đặt cọc thuê văn phòng,498.204.382,498.204.382,,498204382.0,498204382.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn > Biên Hòa - Thành Long,Biên Hòa - Thành Long,Cung cấp dịch vụ,1.437.362.987,1.437.362.987,,1437362987.0,1437362987.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Đại Tín,Phải trả người bán ngắn hạn > Đại Tín,Đại Tín,Mua hàng hóa dịch vụ,-,600.000.000,,,600000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Đầu tư Thành Thành Công,Phải trả ngắn hạn khác > Đầu tư Thành Thành Công,Đầu tư Thành Thành Công,Cổ tức,6.974.000,-,,6974000.0,
