row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),Phải trả ngắn hạn khác (TM số 24),,,,
Công ty Cổ phần Cao su Trung Nguyên,Phải trả ngắn hạn khác (TM số 24) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty liên quan(trước đây),Cho mượn tạm,-,(123.120.360),,,,-123120360.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Phải trả ngắn hạn khác (TM số 24) > Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Cho mượn tạm,-,(6.092.453),,,,-6092453.0
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả ngắn hạn khác (TM số 24) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Cho mượn tạm,(6.450.000),(2.104.578),,,-6450000.0,-2104578.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả ngắn hạn khác (TM số 24) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Cho mượn tạm,(404.622.014),-,,,-404622014.0,
Công ty TNHH An Tiến,Phải trả ngắn hạn khác (TM số 24) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Cho mượn tạm,(4.688.276),-,,,-4688276.0,
Bà Võ Thị Mỹ Hạnh,Phải trả ngắn hạn khác (TM số 24) > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bên liên quan,Cho mượn tạm,(23.204.111),-,,,-23204111.0,
Các bên liên quan khác,Phải trả ngắn hạn khác (TM số 24) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Các khoản khác,(805.929),(853.554),,,-805929.0,-853554.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 24) > TỔNG CỘNG,TỔNG CỘNG,,,(439.770.330),(132.170.945),,,-439770330.0,-132170945.0
Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),Phải trả dài hạn khác (TM số 24),,,,
Công ty TNHH An Tiến,Phải trả dài hạn khác (TM số 24) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Hợp tác kinh doanh,(550.000.000),-,,,-550000000.0,
Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),Vay ngắn hạn (TM số 25),,,,
Ông Dương Hoàng Bắc,Vay ngắn hạn (TM số 25) > Ông Dương Hoàng Bắc,Ông Dương Hoàng Bắc,Bên liên quan,Vay,(7.823.000),-,,,-7823000.0,
Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),Vay dài hạn (TM số 25),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Vay dài hạn (TM số 25) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Vay,(298.000.000),-,,,-298000000.0,
