row_label_raw,row_label_full,Bên liên quan khác,Tính chất giao dịch,31/12/2024 VND,01/01/2024 VND,numeric__Tính chất giao dịch,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
Công ty TNHH MTV Máy Xây dựng Matec,Phải trả người bán > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Thuế máy móc,-,88.730.816.813,,,88730816813.0
Công ty CP Kỹ thuật Jesco Hòa Bình,Phải trả người bán > Công ty CP Kỹ thuật Jesco Hòa Bình,Công ty CP Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ,-,39.432.000.845,,,39432000845.0
Công ty CP Cơ khí và Nhôm kính Anh Việt,Phải trả người bán > Công ty CP Cơ khí và Nhôm kính Anh Việt,Công ty CP Cơ khí và Nhôm kính Anh Việt,Chi phí thầu phụ,-,35.266.738.582,,,35266738582.0
Công ty CP Interhouse LA,Phải trả người bán > Công ty CP Interhouse LA,Công ty CP Interhouse LA,Chi phí thầu phụ,25.247.895.569,42.700.067.258,,25247895569.0,42700067258.0
Công ty Cổ phần Sơn và Chất phù Hòa Bình,Phải trả người bán > Công ty Cổ phần Sơn và Chất phù Hòa Bình,Công ty Cổ phần Sơn và Chất phù Hòa Bình,Chi phí thầu phụ,-,7.108.235.983,,,7108235983.0
Công ty CP Trang trí Nội thất Onwa Tech,Phải trả người bán > Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Chi phí thầu phụ,11.707.359.994,11.707.359.994,,11707359994.0,11707359994.0
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Phải trả người bán > Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Mua vật tư xây dựng,4.221.066.046,4.221.066.046,,4221066046.0,4221066046.0
Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Phải trả người bán > Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Chi phí thầu phụ,2.345.466.912,2.345.466.912,,2345466912.0,2345466912.0
Công ty CP Nhà Hòa Bình,Phải trả người bán > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Chi phí thầu phụ,4.917.956.581,588.336.385,,4917956581.0,588336385.0
