row_label_raw,row_label_full,Bên liên quan khác,Tính chất giao dịch,31/12/2024 VND,01/01/2024 VND,numeric__Tính chất giao dịch,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Ông Lê Việt Hải và Bà Bùi Ngọc Mai,Phải thu khác > Ông Lê Việt Hải và Bà Bùi Ngọc Mai,Ông Lê Việt Hải và Bà Bùi Ngọc Mai,Tạm ứng đề muađạt động sản,120.000.000.000,120.000.000.000,,120000000000.0,120000000000.0
Bà Phạm Thị Quốc Hương,Phải thu khác > Bà Phạm Thị Quốc Hương,Bà Phạm Thị Quốc Hương,Tạm ứng,386.385.063.700,527.058.125.512,,386385063700.0,527058125512.0
Quản lì chủ chốt,Phải thu khác > Quản lì chủ chốt,Quản lì chủ chốt,Tạm ứng lương,-,21.158.283.442,,,21158283442.0
,,,Phải thu liên quanđến dự án Thạch,,,,,
Công ty CP Đầu tư Địa ốc Tiến Phát,Phải thu khác > Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Bàn Lakeside,67.206.743.241,67.206.743.241,,67206743241.0,67206743241.0
,,,Lãi phạt chấm,,,,,
Công ty CP Tiến Phát Sanyo Homes,Phải thu khác > Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,thanh toán,7.413.092.247,7.413.092.247,,7413092247.0,7413092247.0
Công ty CP Cơ khí Nhôm kính Anh Việt,Phải thu khác > Công ty CP Cơ khí Nhôm kính Anh Việt,Công ty CP Cơ khí Nhôm kính Anh Việt,Lãi cho vay,-,916.168.653,,,916168653.0
,,,Chi phí trả hộ,-,9.129.227.153,,,9129227153.0
,,,Cổ tức phải thu,-,817.042.821,,,817042821.0
,,,Ký quỹ thuê văn phòng,,,,,
Công ty CP Nhà Hòa Bình,Phải thu khác > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,,2.740.524.657,5.534.467.809,,2740524657.0,5534467809.0
Công ty CP Trang trí nội thất Onwa Tech,Phải thu khác > Công ty CP Trang trí nội thất Onwa Tech,Công ty CP Trang trí nội thất Onwa Tech,Chi phí trả hộ,1.944.918.073,1.940.418.073,,1944918073.0,1940418073.0
Công ty CP 479 Hòa Bình,Phải thu khác > Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Cổ tức phải thu,1.877.790.480,1.877.790.480,,1877790480.0,1877790480.0
,,,Chi phí trả hộ,620.893.878,265.589.280,,620893878.0,265589280.0
Công ty CP Đầu tư và Phát triển Hòa Yên,Phải thu khác > Công ty CP Đầu tư và Phát triển Hòa Yên,Công ty CP Đầu tư và Phát triển Hòa Yên,Chi phí trả hộ,1.382.536.766,1.382.536.766,,1382536766.0,1382536766.0
Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Phải thu khác > Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Chi phí trả hộ,-,765.730.255,,,765730255.0
Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Phải thu khác > Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Chi Nhánh Công ty Cổ phần Sơn và Chất phủ Hòa Bình tại Hưng Yên,Phải thu khác,194.957.788,194.957.788,,194957788.0,194957788.0
Công ty CP Đầu tư Phát Triển Hòa Bình Huế,Phải thu khác > Công ty CP Đầu tư Phát Triển Hòa Bình Huế,Công ty CP Đầu tư Phát Triển Hòa Bình Huế,Chi phí trả hộ,169.519.247,169.519.247,,169519247.0,169519247.0
Công ty CP Interhouse LA,Phải thu khác > Công ty CP Interhouse LA,Công ty CP Interhouse LA,Chi phí trả hộ,75.000.000,151.669.500,,75000000.0,151669500.0
,,,Phải thu khác,237.261.351,-,,237261351.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải thu khác > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Chi phí trả hộ,50.000.000,50.000.000,,50000000.0,50000000.0
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Phải thu khác > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Phải thu khác,256.014.757,90.000.000,,256014757.0,90000000.0
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Phải thu khác > Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Cổ tức phải thu,321.750.000,71.882.207,,321750000.0,71882207.0
,,,Chi phí trả hộ,70.000.000,70.000.000,,70000000.0,70000000.0
Công ty TNHH MTV Pax Sky Sài Gòn,Phải thu khác > Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,Chi phí trả hộ,65.000.000,65.000.000,,65000000.0,65000000.0
Công ty TNHH MTV Máy Xây dựng Matec,Phải thu khác > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Chi phí trả hộ,-,64.700.000,,,64700000.0
