row_label_raw,row_label_full,Bên liên quan khác,Tính chất giao dịch,31/12/2024 VND,01/01/2024 VND,numeric__Tính chất giao dịch,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,,,
Công ty TNHH MTV Máy Xây dựng Matec,Chỉ phí phải trả ngắn hạn > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Chỉ phí thầu phụ,-,8.916.379.724,,,8916379724.0
Chỉ Nhánh Công ty Cổ phần Sơn và Chất phù Hòa Bình tại Hưng Yên,Chỉ phí phải trả ngắn hạn > Chỉ Nhánh Công ty Cổ phần Sơn và Chất phù Hòa Bình tại Hưng Yên,Chỉ Nhánh Công ty Cổ phần Sơn và Chất phù Hòa Bình tại Hưng Yên,Chỉ phí thầu phụ,798.146.120,798.146.120,,798146120.0,798146120.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Bà Bùi Ngọc Mai,Phải trả ngắn hạn khác > Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Mượn tiền,152.082.000,-,,152082000.0,
Công ty TNHH MTV Xây dựng và Địa óc Hòa Bình Hà Nội,Phải trả ngắn hạn khác > Công ty TNHH MTV Xây dựng và Địa óc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa óc Hòa Bình Hà Nội,Mượn tiền,2.534.600.000,2.534.600.000,,2534600000.0,2534600000.0
Công ty CP Đầu tư Phát Tiến Hòa Bình Huế,Phải trả ngắn hạn khác > Công ty CP Đầu tư Phát Tiến Hòa Bình Huế,Công ty CP Đầu tư Phát Tiến Hòa Bình Huế,Chỉ hộ,800.000.000,800.000.000,,800000000.0,800000000.0
Công ty TNHH Hòa Bình Myanmar,Phải trả ngắn hạn khác > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Mượn tiền,353.114.410,353.114.410,,353114410.0,353114410.0
Vay,Vay,Vay,Vay,Vay,Vay,,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Vay > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Đi vay,7.000.000.000,7.000.000.000,,7000000000.0,7000000000.0
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Vay > Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Đi vay,131.006.747.594,10.000.000.000,,131006747594.0,10000000000.0
