row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
Công ty TNHH,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH,Công ty TNHH,Công ty liên quan,HĐĐT,350.000.000,-,,,350000000.0,
Dịch vụ Nông nghiệp,Phải thu ngắn hạn khác (TM số 9) > Dịch vụ Nông nghiệp,Dịch vụ Nông nghiệp,,Cho mượn,200.296.688,1.300.000,,,200296688.0,1300000.0
Tây Nguyên,Phải thu ngắn hạn khác (TM số 9) > Tây Nguyên,Tây Nguyên,,Lãi cho vay,148.002.284,68.960.638,,,148002284.0,68960638.0
,,,,Khác,1.322.000,22.000,,,1322000.0,22000.0
Công ty TNHH Phát triển Nông nghiệp,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH Phát triển Nông nghiệp,Công ty TNHH Phát triển Nông nghiệp,Công ty con của công ty có cùng thành viên HDQT,Lãi cho vay,10.653.887,649.991.651,,,10653887.0,649991651.0
Hoàng Anh Attapeu,Hoàng Anh Attapeu,Hoàng Anh Attapeu,,,,,,,,
Công ty TNHH CN&NN Cao su,Hoàng Anh Attapeu > Công ty TNHH CN&NN Cao su,Công ty TNHH CN&NN Cao su,Công ty con của công ty có cùng thành viên HDQT,Lãi cho vay,1.636.032,-,,,1636032.0,
Hoàng Anh - Quang Minh,Hoàng Anh - Quang Minh,Hoàng Anh - Quang Minh,,,,,,,,
Công ty Cổ phần Gỗ,Hoàng Anh - Quang Minh > Công ty Cổ phần Gỗ,Công ty Cổ phần Gỗ,Công ty liên quan,Cho mượn,679.661,-,,,679661.0,
Hoàng Anh Gia Lai,Hoàng Anh Gia Lai,Hoàng Anh Gia Lai,,,,,,,,
Ông Lê Văn Thạch,Hoàng Anh Gia Lai > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Giám đốc công ty con,Tạm ứng,300.000,-,,,300000.0,
Công ty Cổ phần Gỗ,Hoàng Anh Gia Lai > Công ty Cổ phần Gỗ,Công ty Cổ phần Gỗ,Công ty liên quan,Khác,129.400,-,,,129400.0,
Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,,,,,,,,
Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Hoàng Anh Gia Lai - CN Nhà Máy Nhựa > Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty liên quan,Lãi cho vay,-,4.115.880,,,,4115880.0
Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Hoàng Anh Gia Lai - CN Nhà Máy Nhựa > Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty liên quan,Cho mượn,-,800.535,,,,800535.0
Các bên liên quan khác,Hoàng Anh Gia Lai - CN Nhà Máy Nhựa > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Khác,-,429.400,,,,429400.0
,,,,,713.019.952,725.620.104,,,713019952.0,725620104.0
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,,
Công ty TNHH,Phải thu dài hạn khác (TM số 9) > Công ty TNHH,Công ty TNHH,Công ty liên quan,Lãi cho vay,66.088.170,38.862.320,,,66088170.0,38862320.0
Dịch vụ Nông nghiệp,Dịch vụ Nông nghiệp,Dịch vụ Nông nghiệp,,,,,,,,
Tây Nguyên,Tây Nguyên,Tây Nguyên,,,,,,,,
Công ty TNHH Phát triển Nông nghiệp,Tây Nguyên > Công ty TNHH Phát triển Nông nghiệp,Công ty TNHH Phát triển Nông nghiệp,Công ty con của Công ty có cùng thành viên HDQT,Lãi cho vay,-,10.342.357,,,,10342357.0
Hoàng Anh Attapeu,Hoàng Anh Attapeu,Hoàng Anh Attapeu,,,,,,,,
Công ty TNHH,Hoàng Anh Attapeu > Công ty TNHH,Công ty TNHH,Công ty con của Công ty có cùng thành viên HDQT,Lãi cho vay,-,1.588.193,,,,1588193.0
CN&NN Cao su,CN&NN Cao su,CN&NN Cao su,,,,,,,,
Hoàng Anh - Quang Minh,Hoàng Anh - Quang Minh,Hoàng Anh - Quang Minh,,,,,,,,
Ông Lê Văn Thạch,Hoàng Anh - Quang Minh > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Giám đốc công ty con,Lãi cho vay,-,15.698.411,,,,15698411.0
