row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,,
Công ty Cổ phầnNông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phầnNông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phầnNông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty có cùng thành viên HĐQT,-,984.698.038,501.373.770,,,984698038.0,501373770.0
Công ty TNHHDịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHHDịch vụ Nông nghiệp Tây Nguyên,Công ty TNHHDịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,"9,30 - 10,40",976.155.169,604.350.086,,,976155169.0,604350086.0
Công ty TNHH PTNN Hoàng Anh Attapeu,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH PTNN Hoàng Anh Attapeu,Công ty TNHH PTNN Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,-,112.597.142,-,,,112597142.0,
Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,-,16.744.250,-,,,16744250.0,
Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty liên quan,-,-,5.865.308,,,,5865308.0
Công ty Cổ phần Lê Me,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan (đến ngày 19 tháng 6 năm 2023),-,-,2.753.404.202,,,,2753404202.0
Ông Nguyễn Ngọc Mai,Phải thu về cho vay ngắn hạn (TM số 8) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Giám đốc công ty con,-,-,56.156,,,,56156.0
Các bên liên quan khác,Phải thu về cho vay ngắn hạn (TM số 8) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,-,14.200,-,,,14200.0,
,,,,,2.090.208.799,3.865.049.522,,,2090208799.0,3865049522.0
