row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VND Năm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VND Năm trước
Công ty TNHH MTVBao bì Linh Khang,Công ty TNHH MTVBao bì Linh Khang,Công ty TNHH MTVBao bì Linh Khang,Công ty liên quan,Mua hàng hóaCho vay,47.873.980-,22.028.47215.000.000,,,,2202847215000000.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế Biến Hoa Quả,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế Biến Hoa Quả,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai - Chi nhánh Chế Biến Hoa Quả,Công ty con của Công ty có cùng thành viên HĐQT,Bán hàng hóa và cung cấp dịch vụMua hàng hóa và dịch vụ,970.345-,269.38649.814,,,,26938649814.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lãi cho vayChi hộ,--,1.874.92166.571,,,,187492166571.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - Chi nhánh Nhà Máy nhựa Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụBán hàng hóa và cung cấp dịch vụ,--,29.264.77313.723.570,,,,2926477313723570.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Lãi cho vayCho vayLãi vayBán hàng hóa và cung cấp dịch vụMua hàng hóa và dịch vụ,--------,6.812.2912.000.000718.52498.91975.369,,,,6.812291200000072e+29
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,-,68.368,,,,68368.0
