row_label_raw,row_label_full,Bên vay,Số cuối năm VND,Ngày đáo hạn,Lãi suất %/năm,numeric__Số cuối năm VND,numeric__Ngày đáo hạn,numeric__Lãi suất %/năm
Cá nhân 1,Cá nhân 1,Cá nhân 1,Cá nhân 1,Cá nhân 1,Cá nhân 1,,,
Khoản vay 1,Cá nhân 1 > Khoản vay 1,Khoản vay 1,29.810.000.000,Ngày 22 tháng 4 năm 2025,"6,0",29810000000.0,,6.0
Cá nhân 2,Cá nhân 2,Cá nhân 2,Cá nhân 2,Cá nhân 2,Cá nhân 2,,,
Khoản vay 1,Cá nhân 2 > Khoản vay 1,Khoản vay 1,17.500.000.000,Ngày 31 tháng 3 năm 2025,"9,2",17500000000.0,,9.2
Khoản vay 2,Cá nhân 2 > Khoản vay 2,Khoản vay 2,12.500.000.000,Ngày 23 tháng 3 năm 2025,"9,2",12500000000.0,,9.2
,,,30.000.000.000,,,30000000000.0,,
Cá nhân 3,Cá nhân 3,Cá nhân 3,Cá nhân 3,Cá nhân 3,Cá nhân 3,,,
Khoản vay 1,Cá nhân 3 > Khoản vay 1,Khoản vay 1,20.270.964.170,Ngày 22 tháng 4 năm 2025,"6,0",20270964170.0,,6.0
Cá nhân 4,Cá nhân 4,Cá nhân 4,Cá nhân 4,Cá nhân 4,Cá nhân 4,,,
Khoản vay 1,Cá nhân 4 > Khoản vay 1,Khoản vay 1,9.500.000.000,Ngày 26 tháng 12 năm 2025,"6,0",9500000000.0,,6.0
Khoản vay 2,Cá nhân 4 > Khoản vay 2,Khoản vay 2,5.000.000.000,Ngày 26 tháng 12 năm 2025,"6,0",5000000000.0,,6.0
,,,14.500.000.000,,,14500000000.0,,
TỔNG CỘNG,Cá nhân 4 > TỔNG CỘNG,TỔNG CỘNG,94.580.964.170,,,94580964170.0,,
