row_label_raw,row_label_full,Bên đi vay,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty TNHH REQ (i),Công ty TNHH REQ (i),Công ty TNHH REQ (i),458.000.000.000,458.000.000.000,458000000000.0,458000000000.0
Ông Nguyễn Đăng Sơn (ii),Ông Nguyễn Đăng Sơn (ii),Ông Nguyễn Đăng Sơn (ii),68.500.000.000,-,68500000000.0,
Công ty Cổ phần Phát triển đỏ thị An Thịnh (iii),Công ty Cổ phần Phát triển đỏ thị An Thịnh (iii),Công ty Cổ phần Phát triển đỏ thị An Thịnh (iii),47.772.328.767,110.000.000.000,47772328767.0,110000000000.0
Công ty Cổ phần Khu nghĩ dưỡng Vương Cơ (iv),Công ty Cổ phần Khu nghĩ dưỡng Vương Cơ (iv),Công ty Cổ phần Khu nghĩ dưỡng Vương Cơ (iv),19.500.000.000,19.500.000.000,19500000000.0,19500000000.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,593.772.328.767,587.500.000.000,593772328767.0,587500000000.0
