row_label_raw,row_label_full,Biên liên quan,Tính chất giao dịch,31/12/2023 VND,01/01/2023 VND,numeric__Tính chất giao dịch,numeric__31/12/2023 VND,numeric__01/01/2023 VND
1. Phải thu khách hàng,1. Phải thu khách hàng,1. Phải thu khách hàng,,774.493.323,14.588.565.946,,774493323.0,14588565946.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Phải thu phí dịch vụ quản lý tòa nhà,254.596.075,556.159.684,,254596075.0,556159684.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải thu phí thuê mặt bằng và dịch vụ khác,-,13.281.315.882,,,13281315882.0
Công ty Hải Phát Kinh Bắc,Công ty Hải Phát Kinh Bắc,Công ty Hải Phát Kinh Bắc,Phải thu cho thuê mặt bằng,240.135.300,240.135.300,,240135300.0,240135300.0
Công ty Cienco5,Công ty Cienco5,Công ty Cienco5,Phải thu phí thuê mặt bằng và dịch vụ khác,-,917.361,,,917361.0
Công ty An Land,Công ty An Land,Công ty An Land,Phải thu phí quản lý vận hành,220.404.569,205.560.705,,220404569.0,205560705.0
Ông Tô Việt An,Ông Tô Việt An,Ông Tô Việt An,Phải thu phí dịch vụ,59.357.379,299.357.379,,59357379.0,299357379.0
Công ty Địa ốc Hải Phát (*),Công ty Địa ốc Hải Phát (*),Công ty Địa ốc Hải Phát (*),Phải thu phí thuê mặt bằng và dịch vụ khác,-,5.119.635,,,5119635.0
2. Phải thu khác,2. Phải thu khác,2. Phải thu khác,,365.299.969.075,1.193.527.960.184,,365299969075.0,1193527960184.0
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,167.319.969.075,696.527.960.184,,167319969075.0,696527960184.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải thu theo biên bản thỏa thuận hợp tác đầu tư,-,260.301.007.285,,,260301007285.0
Ông Lê Thanh Hải,Ông Lê Thanh Hải,Ông Lê Thanh Hải,Phải thu khác,-,435.275.600.000,,,435275600000.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Phải thu khác,167.000.000.000,-,,167000000000.0,
Công ty Bình Minh,Công ty Bình Minh,Công ty Bình Minh,Phải thu khác,-,334.600.000,,,334600000.0
Tô Việt An,Tô Việt An,Tô Việt An,Tạm ứng,-,400.000.000,,,400000000.0
Công ty An Land,Công ty An Land,Công ty An Land,Phải thu khác,319.969.075,216.752.899,,319969075.0,216752899.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,,197.980.000.000,497.000.000.000,,197980000000.0,497000000000.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải thu theo biên bản thỏa thuận hợp tác đầu tư,-,300.000.000.000,,,300000000000.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,-,197.000.000.000,,,197000000000.0
Vũ Mạnh Tuấn,Vũ Mạnh Tuấn,Vũ Mạnh Tuấn,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,197.980.000.000,-,,197980000000.0,
3. Phải trả người bán,3. Phải trả người bán,3. Phải trả người bán,,5.682.191.799,9.689.602.480,,5682191799.0,9689602480.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải trả phí dịch vụ môi giới,-,2.014.034.331,,,2014034331.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Phải trả tiền mua hàng,2.500.432.247,2.500.432.247,,2500432247.0,2500432247.0
Công ty Phúc Thành,Công ty Phúc Thành,Công ty Phúc Thành,Phải trả tiền xây lắp,1.289.861.992,2.850.988.212,,1289861992.0,2850988212.0
Công ty Địa ốc Hải Phát (*),Công ty Địa ốc Hải Phát (*),Công ty Địa ốc Hải Phát (*),Phải trả phí dịch vụ môi giới,-,743.330.550,,,743330550.0
Công ty ANTV,Công ty ANTV,Công ty ANTV,Phải thu phí dịch vụ bảo vệ,1.891.897.560,1.580.817.140,,1891897560.0,1580817140.0
4. Người mua trả tiền trước,4. Người mua trả tiền trước,4. Người mua trả tiền trước,,-,63.200.000,,,63200000.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Chỉ phí quản lý dự án,-,63.200.000,,,63200000.0
5. Phải trả khác,5. Phải trả khác,5. Phải trả khác,,4.760.053.221,65.090.865.691,,4760053221.0,65090865691.0
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,4.760.053.221,65.090.865.691,,4760053221.0,65090865691.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải trả tiền quản lý tập trung,-,64.141.711.123,,,64141711123.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,"Thu hộ, chi hộ phí dịch vụ",4.224.955.074,893.670.407,,4224955074.0,893670407.0
Công ty Địa Ốc Hải Phát (*),Công ty Địa Ốc Hải Phát (*),Công ty Địa Ốc Hải Phát (*),"Thu hộ, chi hộ phí dịch vụ",-,19.519.000,,,19519000.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Tiền thuê mặt bằng,-,35.965.161,,,35965161.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Phải trả tiền quản lý tập trung,535.098.147,-,,535098147.0,
