row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,
Anh Vũ Phú Yên,Phải thu về cho vay ngắn hạn > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Cho vay,94.290.000.000,10.300.000.000,,94290000000.0,10300000000.0
Trang Trại Xanh 1,Phải thu về cho vay ngắn hạn > Trang Trại Xanh 1,Trang Trại Xanh 1,Cho vay,58.088.217.000,86.638.217.000,,58088217000.0,86638217000.0
Đông An Khánh,Phải thu về cho vay ngắn hạn > Đông An Khánh,Đông An Khánh,Cho vay,56.864.000.000,4.287.845.000,,56864000000.0,4287845000.0
Nam An Khánh,Phải thu về cho vay ngắn hạn > Nam An Khánh,Nam An Khánh,Cho vay,47.800.000.000,7.600.000.000,,47800000000.0,7600000000.0
Trang Trại Xanh 2,Phải thu về cho vay ngắn hạn > Trang Trại Xanh 2,Trang Trại Xanh 2,Cho vay,47.280.000.000,-,,47280000000.0,
Chăn nuôi Bảo Ngọc,Phải thu về cho vay ngắn hạn > Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Cho vay,28.458.606.034,23.008.606.034,,28458606034.0,23008606034.0
Bắc An Khánh,Phải thu về cho vay ngắn hạn > Bắc An Khánh,Bắc An Khánh,Cho vay,24.060.000.000,32.066.462.000,,24060000000.0,32066462000.0
Chăn nuôi Kim Hội,Phải thu về cho vay ngắn hạn > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,Cho vay,1.023.459.656,-,,1023459656.0,
Chăn nuôi Minh Thành,Phải thu về cho vay ngắn hạn > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Cho vay,-,25.017.584.949,,,25017584949.0
,,,,357.864.282.690,188.918.714.983,,357864282690.0,188918714983.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Anh Vũ Phú Yên,Phải thu ngắn hạn của khách hàng > Anh Vũ Phú Yên,Anh Vũ Phú Yên,Bán hàng hóa,65.273.723.968,-,,65273723968.0,
Siba Food Việt Nam,Phải thu ngắn hạn của khách hàng > Siba Food Việt Nam,Siba Food Việt Nam,Bán hàng hóa,58.713.403.885,11.175.437.524,,58713403885.0,11175437524.0
BAF Tây Ninh,Phải thu ngắn hạn của khách hàng > BAF Tây Ninh,BAF Tây Ninh,Bán hàng hóa,15.211.555.784,-,,15211555784.0,
Trang Trại Xanh 1,Phải thu ngắn hạn của khách hàng > Trang Trại Xanh 1,Trang Trại Xanh 1,Bán hàng hóa,7.474.077.640,-,,7474077640.0,
Chăn nuôi Minh Thành,Phải thu ngắn hạn của khách hàng > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,Bán hàng hóa,2.501.861.729,103.955.903.453,,2501861729.0,103955903453.0
Tân Long,Phải thu ngắn hạn của khách hàng > Tân Long,Tân Long,Bán hàng hóa,-,218.638.877.414,,,218638877414.0
,,,,149.174.623.006,333.770.218.391,,149174623006.0,333770218391.0
